"ID","nadconVersion","srcDatum","destDatum","srcLat","srcLatDms","destLat","destLatDms","siglat","srcLon","srcLonDms","destLon","destLonDms","siglon","srcEht","destEht","sigeht","spcZone","spcNorthing_m","spcEasting_m","spcNorthing_usft","spcEasting_usft","spcNorthing_ift","spcEasting_ift","spcConvergence","spcScaleFactor","spcCombinedFactor","utmZone","utmNorthing","utmEasting","utmConvergence","utmScaleFactor","utmCombinedFactor","x","y","z","usng"
"48001","5.0","NAD83(2011)","NAD83(2011)","47.1787958354","N471043.66501","47.1787958354","N471043.66501","0.000000","-122.2953164216","W1221743.13912","-122.2953164216","W1221743.13912","0.000000","N/A","N/A","N/A","WA S-4602","206,678.085","363,927.655","678,076.350","1,193,985.980","678,077.706","1,193,988.368","-01 18 14.80","0.99996831","N/A","UTM Zone 10","5,225,274.200","553,394.892","00 31 00.78","0.99963504","N/A","N/A","N/A","N/A","10TET5339425274"
"48002","5.0","NAD83(2011)","NAD83(2011)","47.2394226140","N471421.92141","47.2394226140","N471421.92141","0.000000","-122.4052872897","W1222419.03424","-122.4052872897","W1222419.03424","0.000000","N/A","N/A","N/A","WA S-4602","213,611.643","355,757.002","700,824.200","1,167,179.430","700,825.602","1,167,181.764","-01 23 02.37","0.99997987","N/A","UTM Zone 10","5,231,942.347","545,010.944","00 26 11.92","0.99962490","N/A","N/A","N/A","N/A","10TET4501031942"
"48003","5.0","NAD83(2011)","NAD83(2011)","47.1854187741","N471107.50759","47.1854187741","N471107.50759","0.000000","-122.4638733313","W1222749.94399","-122.4638733313","W1222749.94399","0.000000","N/A","N/A","N/A","WA S-4602","207,718.564","351,173.084","681,489.990","1,152,140.360","681,491.353","1,152,142.664","-01 25 35.58","0.99996952","N/A","UTM Zone 10","5,225,908.765","540,618.072","00 23 35.83","0.99962028","N/A","N/A","N/A","N/A","10TET4061825908"
"48004","5.0","NAD83(2011)","NAD83(2011)","47.2262768568","N471334.59668","47.2262768568","N471334.59668","0.000000","-122.4637337605","W1222749.44154","-122.4637337605","W1222749.44154","0.000000","N/A","N/A","N/A","WA S-4602","212,259.164","351,296.733","696,386.940","1,152,546.030","696,388.333","1,152,548.335","-01 25 35.21","0.99997727","N/A","UTM Zone 10","5,230,449.397","540,597.460","00 23 37.13","0.99962026","N/A","N/A","N/A","N/A","10TET4059730449"
"48005","5.0","NAD83(2011)","NAD83(2011)","47.1963209906","N471146.75557","47.1963209906","N471146.75557","0.000000","-122.4620140783","W1222743.25068","-122.4620140783","W1222743.25068","0.000000","N/A","N/A","N/A","WA S-4602","208,926.696","351,344.099","685,453.670","1,152,701.430","685,455.041","1,152,703.735","-01 25 30.72","0.99997154","N/A","UTM Zone 10","5,227,121.294","540,750.586","00 23 40.99","0.99962041","N/A","N/A","N/A","N/A","10TET4075027121"
"48006","5.0","NAD83(2011)","NAD83(2011)","47.2353097634","N471407.11515","47.2353097634","N471407.11515","0.000000","-122.5014542630","W1223005.23535","-122.5014542630","W1223005.23535","0.000000","N/A","N/A","N/A","WA S-4602","213,334.851","348,466.442","699,916.090","1,143,260.320","699,917.490","1,143,262.607","-01 27 13.85","0.99997905","N/A","UTM Zone 10","5,231,434.299","537,735.463","00 21 57.64","0.99961750","N/A","N/A","N/A","N/A","10TET3773531434"
"48007","5.0","NAD83(2011)","NAD83(2011)","47.2352537049","N471406.91334","47.2352537049","N471406.91334","0.000000","-122.4259376976","W1222533.37571","-122.4259376976","W1222533.37571","0.000000","N/A","N/A","N/A","WA S-4602","213,186.279","354,182.621","699,428.650","1,162,014.150","699,430.049","1,162,016.474","-01 23 56.37","0.99997904","N/A","UTM Zone 10","5,231,467.349","543,451.426","00 25 17.23","0.99962320","N/A","N/A","N/A","N/A","10TET4345131467"
"48008","5.0","NAD83(2011)","NAD83(2011)","47.1790662262","N471044.63841","47.1790662262","N471044.63841","0.000000","-122.4656118078","W1222756.20251","-122.4656118078","W1222756.20251","0.000000","N/A","N/A","N/A","WA S-4602","207,015.847","351,023.768","679,184.490","1,151,650.480","679,185.848","1,151,652.783","-01 25 40.12","0.99996836","N/A","UTM Zone 10","5,225,201.906","540,491.191","00 23 31.09","0.99962015","N/A","N/A","N/A","N/A","10TET4049125201"
"48009","5.0","NAD83(2011)","NAD83(2011)","47.2102517281","N471236.90622","47.2102517281","N471236.90622","0.000000","-122.4619880178","W1222743.15686","-122.4619880178","W1222743.15686","0.000000","N/A","N/A","N/A","WA S-4602","210,474.873","351,384.591","690,532.980","1,152,834.280","690,534.361","1,152,836.586","-01 25 30.65","0.99997417","N/A","UTM Zone 10","5,228,669.430","540,741.893","00 23 41.37","0.99962040","N/A","N/A","N/A","N/A","10TET4074128669"
"48010","5.0","NAD83(2011)","NAD83(2011)","47.2392046278","N471421.13666","47.2392046278","N471421.13666","0.000000","-122.4085072712","W1222430.62618","-122.4085072712","W1222430.62618","0.000000","N/A","N/A","N/A","WA S-4602","213,593.310","355,512.689","700,764.050","1,166,377.880","700,765.452","1,166,380.213","-01 23 10.79","0.99997982","N/A","UTM Zone 10","5,231,916.270","544,767.423","00 26 03.40","0.99962463","N/A","N/A","N/A","N/A","10TET4476731916"
"48011","5.0","NAD83(2011)","NAD83(2011)","47.2522763266","N471508.19478","47.2522763266","N471508.19478","0.000000","-122.5134720932","W1223048.49954","-122.5134720932","W1223048.49954","0.000000","N/A","N/A","N/A","WA S-4602","215,243.625","347,604.893","706,178.460","1,140,433.720","706,179.872","1,140,436.001","-01 27 45.28","0.99998246","N/A","UTM Zone 10","5,233,314.066","536,814.066","00 21 26.23","0.99961666","N/A","N/A","N/A","N/A","10TET3681433314"
"48012","5.0","NAD83(2011)","NAD83(2011)","48.5994171652","N483557.90179","48.5994171652","N483557.90179","0.000000","-122.3443376620","W1222039.61558","-122.3443376620","W1222039.61558","0.000000","N/A","N/A","N/A","WA N-4601","178,925.688","388,562.834","587,025.361","1,274,809.898","587,026.535","1,274,812.448","-01 07 29.90","0.99997757","N/A","UTM Zone 10","5,383,133.918","548,340.073","00 29 30.57","0.99962871","N/A","N/A","N/A","N/A","10UEU4834083133"
"48013","5.0","NAD83(2011)","NAD83(2011)","48.4537381355","N482713.45729","48.4537381355","N482713.45729","0.000000","-122.3412395565","W1222028.46240","-122.3412395565","W1222028.46240","0.000000","N/A","N/A","N/A","WA N-4601","162,725.246","388,473.903","533,874.411","1,274,518.131","533,875.479","1,274,520.680","-01 07 21.60","0.99995942","N/A","UTM Zone 10","5,366,942.904","548,707.990","00 29 34.94","0.99962915","N/A","N/A","N/A","N/A","10UEU4870766942"
"48014","5.0","NAD83(2011)","NAD83(2011)","48.5806167690","N483450.22037","48.5806167690","N483450.22037","0.000000","-122.3460257614","W1222045.69274","-122.3460257614","W1222045.69274","0.000000","N/A","N/A","N/A","WA N-4601","176,837.950","388,397.261","580,175.840","1,274,266.681","580,177.000","1,274,269.230","-01 07 34.43","0.99997486","N/A","UTM Zone 10","5,381,043.067","548,233.506","00 29 25.50","0.99962858","N/A","N/A","N/A","N/A","10UEU4823381043"
"48015","5.0","NAD83(2011)","NAD83(2011)","48.6031852278","N483611.46682","48.6031852278","N483611.46682","0.000000","-122.3450321154","W1222042.11562","-122.3450321154","W1222042.11562","0.000000","N/A","N/A","N/A","WA N-4601","179,345.620","388,519.855","588,403.088","1,274,668.890","588,404.264","1,274,671.439","-01 07 31.77","0.99997813","N/A","UTM Zone 10","5,383,552.324","548,285.282","00 29 28.80","0.99962864","N/A","N/A","N/A","N/A","10UEU4828583552"
"48016","5.0","NAD83(2011)","NAD83(2011)","48.5547622286","N483317.14402","48.5547622286","N483317.14402","0.000000","-122.3507924312","W1222102.85275","-122.3507924312","W1222102.85275","0.000000","N/A","N/A","N/A","WA N-4601","173,970.450","387,988.947","570,768.050","1,272,927.071","570,769.192","1,272,929.617","-01 07 47.20","0.99997132","N/A","UTM Zone 10","5,378,166.181","547,906.360","00 29 11.93","0.99962820","N/A","N/A","N/A","N/A","10UEU4790678166"
"48017","5.0","NAD83(2011)","NAD83(2011)","48.5077642478","N483027.95129","48.5077642478","N483027.95129","0.000000","-122.3406550079","W1222026.35803","-122.3406550079","W1222026.35803","0.000000","N/A","N/A","N/A","WA N-4601","168,730.706","388,634.790","553,577.325","1,275,045.973","553,578.432","1,275,048.523","-01 07 20.03","0.99996539","N/A","UTM Zone 10","5,372,948.511","548,699.466","00 29 38.00","0.99962914","N/A","N/A","N/A","N/A","10UEU4869972948"
"48018","5.0","NAD83(2011)","NAD83(2011)","48.4469996665","N482649.19880","48.4469996665","N482649.19880","0.000000","-122.4661780320","W1222758.24092","-122.4661780320","W1222758.24092","0.000000","N/A","N/A","N/A","WA N-4601","162,164.695","379,218.778","532,035.338","1,244,153.608","532,036.402","1,244,156.097","-01 12 56.47","0.99995873","N/A","UTM Zone 10","5,366,121.941","539,475.441","00 23 58.15","0.99961915","N/A","N/A","N/A","N/A","10UEU3947566121"
"48019","5.0","NAD83(2011)","NAD83(2011)","48.2077141114","N481227.77080","48.2077141114","N481227.77080","0.000000","-122.2151133728","W1221254.40814","-122.2151133728","W1221254.40814","0.000000","N/A","N/A","N/A","WA N-4601","135,198.814","397,310.107","443,564.775","1,303,508.243","443,565.662","1,303,510.850","-01 01 43.55","0.99994348","N/A","UTM Zone 10","5,339,685.002","558,313.398","00 35 06.72","0.99964178","N/A","N/A","N/A","N/A","10UEU5831339685"
"48020","5.0","NAD83(2011)","NAD83(2011)","48.1520892034","N480907.52113","48.1520892034","N480907.52113","0.000000","-122.1595164804","W1220934.25933","-122.1595164804","W1220934.25933","0.000000","N/A","N/A","N/A","WA N-4601","128,942.244","401,334.913","423,038.013","1,316,712.961","423,038.859","1,316,715.594","-00 59 14.53","0.99994243","N/A","UTM Zone 10","5,333,546.087","562,511.548","00 37 34.00","0.99964801","N/A","N/A","N/A","N/A","10UEU6251133546"
"48021","5.0","NAD83(2011)","NAD83(2011)","47.8050586868","N474818.21127","47.8050586868","N474818.21127","0.000000","-122.2080856782","W1221229.10844","-122.2080856782","W1221229.10844","0.000000","N/A","N/A","N/A","WA N-4601","90,427.576","397,032.618","296,677.806","1,302,597.849","296,678.399","1,302,600.454","-01 01 24.71","0.99995709","N/A","UTM Zone 10","5,294,937.273","559,295.270","00 35 12.18","0.99964320","N/A","N/A","N/A","N/A","10TET5929594937"
"48022","5.0","NAD83(2011)","NAD83(2011)","48.0633532881","N480348.07184","48.0633532881","N480348.07184","0.000000","-122.0199762862","W1220111.91463","-122.0199762862","W1220111.91463","0.000000","N/A","N/A","N/A","WA N-4601","118,907.733","411,563.396","390,116.455","1,350,270.909","390,117.235","1,350,273.609","-00 53 00.53","0.99994271","N/A","UTM Zone 10","5,323,806.259","573,015.436","00 43 44.60","0.99966551","N/A","N/A","N/A","N/A","10UEU7301523806"
"48023","5.0","NAD83(2011)","NAD83(2011)","48.0716225922","N480417.84133","48.0716225922","N480417.84133","0.000000","-122.0098840357","W1220035.58253","-122.0098840357","W1220035.58253","0.000000","N/A","N/A","N/A","WA N-4601","119,815.502","412,329.536","393,094.693","1,352,784.485","393,095.479","1,352,787.190","-00 52 33.48","0.99994258","N/A","UTM Zone 10","5,324,734.972","573,755.522","00 44 11.98","0.99966684","N/A","N/A","N/A","N/A","10UEU7375524734"
"48024","5.0","NAD83(2011)","NAD83(2011)","47.8819662333","N475255.07844","47.8819662333","N475255.07844","0.000000","-122.2319171394","W1221354.90170","-122.2319171394","W1221354.90170","0.000000","N/A","N/A","N/A","WA N-4601","99,009.072","395,403.254","324,832.264","1,297,252.175","324,832.913","1,297,254.770","-01 02 28.59","0.99995069","N/A","UTM Zone 10","5,303,466.921","557,425.929","00 34 11.11","0.99964052","N/A","N/A","N/A","N/A","10TEU5742503466"
"48025","5.0","NAD83(2011)","NAD83(2011)","47.9800063560","N475848.02288","47.9800063560","N475848.02288","0.000000","-122.1822693147","W1221056.16953","-122.1822693147","W1221056.16953","0.000000","N/A","N/A","N/A","WA N-4601","109,841.526","399,306.967","360,371.741","1,310,059.608","360,372.461","1,310,062.228","-01 00 15.52","0.99994514","N/A","UTM Zone 10","5,314,401.535","561,022.385","00 36 27.07","0.99964576","N/A","N/A","N/A","N/A","10TEU6102214401"
