,X,Y
330,1970250.94,515020.06200000003
331,1970467.0259999998,515022.06299999997
332,1970640.13,515034.17
333,1971461.295,515363.508
336,1972213.8,517123.35
337,1972197.96,517754.27
338,1972194.77,518281.38
339,1972184.45,518804.68
340,1972166.48,520225.05
341,1972164.955,520330.11799999996
342,1972168.53,520365.7
344,1972163.46,520434.93
346,1972149.144,521592.36799999996
347,1972149.16,521591.33
348,1972137.456,522275.39
349,1972133.84,522485.54
351,1972115.38,523914.77
356,1972080.9,525789.19
357,1972072.67,525788.59
358,1972076.4919999999,525790.7420000001
359,1972064.54,526321.65
360,1972054.836,526752.947
361,1972019.99,528154.65
362,1972020.33,528285.94
363,1972017.539,528410.077
365,1972012.46,528678.81
368,1971969.04,531091.08
369,1971969.04,531091.08
370,1971961.8,531227.18
371,1971953.501,531979.203
372,1971935.62,533031.6
373,1971929.8,533429.24
374,1971927.03,533556.39
375,1971919.884,533922.7660000001
376,1971916.821,534079.782
377,1971916.82,534079.76
379,1971906.608,534603.168
381,1971885.23,535548.83
383,1971888.91,535565.91
384,1971885.2859999998,535546.429
386,1971878.09,535860.89
388,1971876.89,535913.294
389,1971865.7019999998,536440.251
390,1971865.7019999998,536440.251
391,1971865.7,536440.25
393,1971868.1,536443.24
394,1971864.64,536435.53
395,1971865.7019999998,536440.251
396,1971865.7,536440.25
397,1971865.7019999998,536440.251
398,1971867.24,536438.28
399,1971865.7019999998,536440.251
400,1971865.7,536440.25
401,1971865.7,536440.25
402,1971863.34,536450.89
403,1971865.7019999998,536440.251
404,1971865.7019999998,536440.251
405,1971863.89,536436.36
407,1971865.7019999998,536440.251
408,1971867.68,536436.44
409,1971864.88,536438.55
412,1971865.7,536440.25
413,1971865.7019999998,536440.251
414,1971865.7,536440.25
415,1924242.71,543737.76
417,1924873.71,543356.0
418,1925911.72,542726.58
419,1926677.26,542260.48
421,1927261.87,541905.28
422,1927575.55,541714.89
423,1927696.28,541642.8
424,1928101.601,541400.8929999999
425,1929122.4,540922.43
426,1929646.667,540764.2660000001
428,1931720.65,540599.03
429,1933305.98,540607.04
430,1933568.285,540609.003
431,1933568.86,540609.02
432,1933830.8369999998,540610.9670000001
433,1933829.81,540610.96
434,1934093.39,540612.93
435,1934093.39,540612.93
436,1934093.39,540612.93
437,1934199.091,540614.754
438,1934937.29,540652.76
440,1936987.67,540806.35
441,1937775.858,540869.4029999999
442,1938301.356,540909.244
443,1938511.5559999999,540925.181
445,1938687.87,540934.18
446,1938722.92,540940.34
447,1940039.7,540965.647
448,1940145.159,540966.358
450,1942786.854,540979.829
451,1942786.854,540979.829
453,1945664.86,540994.56
454,1945950.717,540997.2579999999
455,1946687.09,541001.39
457,1949482.61,541017.26
460,1950273.8,541020.12
461,1950593.139,541021.228
463,1950593.139,541021.228
464,1951804.8090000001,541028.14
465,1952227.131,541029.804
467,1954359.8090000001,541288.687
468,1954361.5,541289.24
469,1954861.051,541458.24
470,1955860.55,541797.38
472,1957358.84,542306.1
473,1957358.84,542306.1
474,1957361.26,542306.92
475,1957364.36,542300.35
476,1957756.47,542441.1
477,1957858.28,542475.67
478,1958058.37,542542.56
479,1958360.75,542632.83
480,1958361.59,542633.05
481,1958669.61,542702.84
482,1959296.14,542798.22
483,1959705.45,542819.06
484,1961282.0769999998,542629.582
487,1961282.0769999998,542629.582
488,1961282.08,542629.58
489,1961282.08,542629.58
491,1961282.0769999998,542629.582
492,1961282.08,542629.58
493,1961282.0769999998,542629.582
494,1961286.5,542632.58
496,1961739.35,542483.07
497,1962426.625,542220.2320000001
498,1962927.41,542020.77
499,1962912.5580000002,542027.3910000001
500,1962967.4430000002,542005.726
501,1962967.4430000002,542005.726
502,1963465.52,541822.95
503,1963881.99,541724.9
504,1963930.591,541713.9720000001
505,1963983.112,541704.781
506,1964009.38,541700.21
507,1964010.27,541701.23
508,1964507.92,541658.55
509,1965989.7,541689.05
511,1966380.44,541703.14
512,1966412.926,541698.507
513,1966521.6,541700.93
514,1966518.87,541700.88
515,1966518.874,541700.876
518,1966518.874,541700.876
519,1966518.874,541700.876
520,1966518.87,541700.88
521,1966532.44,541701.17
522,1966518.87,541700.88
523,1966518.874,541700.876
524,1966518.874,541700.876
527,1966518.87,541700.88
528,1966518.874,541700.876
529,1966518.874,541700.876
530,1966517.5,541700.97
532,1966518.874,541700.876
533,1966524.64,541702.51
534,1966629.52,541703.23
535,1966637.1,541703.4
536,1966839.678,541707.714
537,1966946.612,541709.993
538,1967642.856,541725.324
541,1968127.33,541736.42
542,1968180.134,541737.5210000001
543,1968486.23,541743.9
544,1968526.17,541744.73
545,1968660.907,541747.822
546,1968712.41,541749.18
547,1968757.65,541752.39
548,1968764.53,541750.56
549,1968814.0990000002,541751.87
550,1968789.59,541751.22
551,1968865.165,541753.219
552,1968865.1630000002,541753.219
553,1980244.86,542005.08
555,1981842.76,542042.14
557,1982541.521,542061.415
558,1982532.41,542055.14
562,1982541.52,542061.42
564,1982667.07,542064.38
565,1982963.54,542051.28
567,1986076.79,541467.43
568,1987476.56,541197.7
569,1987784.8,541138.3
571,1987779.36,541138.27
572,1987781.23,541139.03
573,1987842.57,541127.18
574,1987845.35,541129.38
575,1989602.04,540787.16
577,1990120.61,540688.88
578,1990742.73,540569.19
579,1990742.73,540569.19
580,1992298.07,540269.94
582,1995409.2,539666.9
585,2000337.5259999998,538723.5179999999
586,2000858.396,538623.436
587,2002553.48,538300.81
588,2003982.28,538023.78
589,2003989.06,538020.66
591,2003982.28,538023.78
592,2003991.77,538022.13
593,2003982.28,538023.78
594,2003990.92,538018.13
595,2003982.285,538023.784
596,2003982.25,538023.79
597,2003982.285,538023.784
598,2003982.285,538023.784
599,2003982.25,538023.79
600,2003982.285,538023.784
601,2003982.28,538023.78
602,2003982.285,538023.784
603,2003982.28,538023.78
604,2003982.285,538023.784
605,2003982.28,538023.78
606,2003982.28,538023.78
607,2004499.89,537924.79
608,2009105.23,537040.44
609,2009312.71,537000.63
610,2010750.78,536723.08
612,2011899.9119999998,536502.306
613,2012629.1069999998,536397.3979999999
614,2013153.927,536406.259
616,2014683.105,536451.675
619,2015732.8,536483.206
620,2015980.27,536488.18
622,2016776.57,536514.14
623,2018308.88,536559.77
624,2018848.167,536575.985
625,2020963.1330000001,536640.985
626,2020963.13,536640.98
627,2022019.25,536658.31
629,2025190.16,536668.81
630,2025718.094,536670.267
631,2026510.45,536672.34
633,2028884.6,536682.34
634,2029412.47,536684.56
635,2030400.57,536688.72
637,2036013.41,536708.64
638,2039183.13,536720.56
639,2041345.79,536727.57
640,2041345.79,536726.94
641,2041821.074,536728.752
642,2042032.3090000001,536729.556
643,2043458.145,536734.981
644,2043986.225,536736.988
645,2045251.12,536741.57
646,2046308.11,536745.4
647,2046782.958,536747.067
648,2046834.25,536747.23
649,2046992.57,536747.72
650,2047900.74,536750.56
653,2051966.22,536769.47
654,2052113.455,536764.246
655,2054597.44,536772.09
657,2060025.46,536881.11
658,2060027.2,536881.15
661,2061041.2040000001,536904.6410000001
662,2061073.01,536905.38
664,2061555.07,536916.01
665,2061555.07,536916.01
666,2062209.091,536929.994
667,2062417.52,536934.42
668,2062682.63,536940.48
669,2062905.47,536945.58
670,2063258.63,536953.65
671,2065782.585,537010.61
672,2065835.08,537011.752
673,2065888.25,537012.91
674,2066412.532,537024.32
675,2067462.445,537047.172
676,2069039.03,537081.08
678,2071145.197,537130.331
679,2073730.905,537185.253
680,2075863.74,537223.88
681,2075916.66,537218.44
682,2075916.6619999998,537218.437
683,2075971.7119999998,537210.366
684,2076431.42,537073.77
685,2077240.86,536809.06
686,2077310.56,536825.52
688,2077275.31,536795.36
689,2077292.803,536792.061
690,2077292.803,536792.061
691,2077291.31,536792.55
692,2077494.14,536726.07
694,2078021.46,536552.92
695,2078021.46,536552.92
696,2078021.455,536552.919
701,2079429.89,536084.18
702,2079429.89,536084.18
703,2079429.8930000002,536084.176
704,2079429.8930000002,536084.176
706,2079977.49,535990.86
707,2080048.21,535983.57
709,2081123.41,536703.88
710,2081129.23,536704.35
712,2081129.233,536704.353
713,2081129.233,536704.353
714,2081129.23,536704.35
715,2081129.23,536704.35
717,2081129.233,536704.353
718,2081139.47,536706.79
719,2081164.17,536744.17
721,2081199.106,536783.989
722,2081234.3569999998,536823.385
723,2081595.801,537209.962
724,2081637.2780000002,537244.745
726,2082056.36,537461.13
728,2086331.94,537767.29
730,2087756.68,537859.0
731,2087915.34,537867.19
733,2088285.56,537877.52
734,2090402.11,537929.09
739,2097228.471,538093.216
740,2098233.29,538117.51
741,2099820.61,538156.05
742,2101513.78,538197.15
743,2101880.21,538206.051
744,2103532.61,538241.83
745,2104157.51,538259.96
746,2104790.87,538274.9
748,2105107.52,538282.37
750,2106743.69,538320.96
751,2106796.44,538322.2
752,2110491.84,538412.2
753,2110913.32,538422.82
754,2113603.155,538499.823
756,2116030.796,538578.365
758,2116569.84,538595.66
759,2117351.15,538621.19
760,2117878.85,538638.31
761,2119938.0319999997,538704.922
762,2119938.0319999997,538704.922
763,2122102.556,538774.764
764,2123682.6040000003,538825.755
765,2123683.08,538825.77
766,2124210.71,538842.86
767,2124263.49,538844.61
768,2125262.51,538877.38
769,2126799.017,538928.811
770,2127851.74,538962.47
772,2128907.03,538996.61
773,2129434.675,539013.759
774,2129434.68,539013.76
775,2131490.39,539096.81
776,2131595.82,539101.42
778,2133281.96,539181.28
779,2133651.63,539198.95
780,2134178.015,539224.121
784,2136866.249,539348.331
785,2136865.36,539348.29
786,2137919.18,539398.65
787,2137919.9159999997,539398.688
789,2138973.04,539449.6
790,2139499.94,539474.34
791,2141082.64,539529.81
793,2142136.19,539562.53
794,2142663.445,539575.67
795,2144509.2,539622.92
796,2144561.94,539624.29
797,2146354.86,539670.49
798,2147409.58,539697.57
799,2147409.58,539697.57
800,2147882.806,539709.733
801,2147882.8,539709.73
803,2148994.27,539738.32
804,2149521.688,539749.461
807,2150051.67,539760.5
808,2150046.56,539760.39
809,2150575.3019999997,539769.8539999999
811,2151628.95,539786.04
812,2152683.89,539803.36
813,2152947.6,539807.69
814,2153160.063,539811.178
815,2153160.05,539811.18
816,2153211.34,539812.02
818,2153847.11,539822.59
821,2155848.75,539858.11
822,2155905.29,539859.01
824,2158065.65,539893.619
826,2158959.994,539907.81
830,2166395.76,540121.01
831,2167239.52,540123.54
832,2167447.56,540075.09
833,2167652.4080000003,540026.578
834,2167949.6769999997,539923.199
835,2168188.91,539812.38
836,2168832.43,539356.31
837,2169450.17,538507.29
838,2169583.856,538223.439
840,2170209.21,536884.616
841,2170565.84,536121.1
842,2170565.849,536121.085
843,2170566.29,536120.14
844,2170833.67,535547.72
845,2170833.665,535547.716
847,2171415.464,534547.882
849,2171634.35,534320.13
851,2173024.43,533606.92
852,2173021.83,533607.39
853,2173024.43,533606.92
854,2173234.39,533574.8
855,2173550.577,533551.088
856,2173549.48,533546.0
858,2174072.49,533594.79
859,2174280.75,533627.93
862,2175617.37,533431.45
863,2175617.37,533431.45
864,2175616.44,533431.86
866,2175767.06,533351.03
867,2175813.56,533324.372
869,2176792.1,532642.72
870,2177662.58,532033.77
871,2177792.16,531943.02
872,2178315.95,531584.0
873,2178976.8,531117.04
874,2179087.99,531035.41
875,2179131.17,531005.14
876,2179347.36,530854.53
878,2179914.14,530468.81
880,2179914.14,530468.81
881,2179962.79,530441.96
882,2180018.2169999997,530411.382
883,2180043.78,530396.27
884,2180200.03,530335.81
885,2180249.97,530319.47
886,2180249.97,530319.47
887,2180351.31,530287.61
888,2180402.77,530272.39
889,2180402.78,530272.385
