ID,zone,northing,easting,units,inDatum,outDatum,utmZone,eht
28001,4602,846715.66,1205257.13,usft,NAD83(2011),NAD83(2011),auto,N/A
28002,4602,847810.29,1191150.22,usft,NAD83(2011),NAD83(2011),auto,N/A
28003,4602,876856.24,1191396.98,usft,NAD83(2011),NAD83(2011),auto,N/A
28004,4602,864844.63,1189949.26,usft,NAD83(2011),NAD83(2011),auto,N/A
28005,4602,818911.55,1190753.3,usft,NAD83(2011),NAD83(2011),auto,N/A
28006,4602,813088.21,1192924.75,usft,NAD83(2011),NAD83(2011),auto,N/A
28007,4602,491351.35,1644759.56,usft,NAD83(2011),NAD83(2011),auto,N/A
28008,4602,482297.08,1633609.0,usft,NAD83(2011),NAD83(2011),auto,N/A
28009,4602,503140.2899999999,1661383.14,usft,NAD83(2011),NAD83(2011),auto,N/A
28010,4602,1012336.57,988296.25,usft,NAD83(2011),NAD83(2011),auto,N/A
28011,4602,777319.39,1063022.22,usft,NAD83(2011),NAD83(2011),auto,N/A
28012,4602,882021.22,1190829.9399999995,usft,NAD83(2011),NAD83(2011),auto,N/A
28013,4602,884868.04,1186353.98,usft,NAD83(2011),NAD83(2011),auto,N/A
28014,4602,883538.85,1186377.4,usft,NAD83(2011),NAD83(2011),auto,N/A
28015,4602,818406.0,1298038.61,usft,NAD83(2011),NAD83(2011),auto,N/A
28016,4602,799932.68,1887914.73,usft,NAD83(2011),NAD83(2011),auto,N/A
28017,4602,889746.63,2400389.91,usft,NAD83(2011),NAD83(2011),auto,N/A
28018,4602,861411.74,2407544.47,usft,NAD83(2011),NAD83(2011),auto,N/A
28019,4602,760360.05,2295834.46,usft,NAD83(2011),NAD83(2011),auto,N/A
28020,4602,924229.63,1315504.39,usft,NAD83(2011),NAD83(2011),auto,N/A
28021,4602,927034.79,1327386.1,usft,NAD83(2011),NAD83(2011),auto,N/A
28022,4602,924841.6700000002,1317978.3100000005,usft,NAD83(2011),NAD83(2011),auto,N/A
28023,4602,922275.3299999998,1310361.67,usft,NAD83(2011),NAD83(2011),auto,N/A
28024,4602,1294822.22,1358537.04,usft,NAD83(2011),NAD83(2011),auto,N/A
28025,4602,689485.27,1152341.46,usft,NAD83(2011),NAD83(2011),auto,N/A
28026,4602,675706.03,1159410.74,usft,NAD83(2011),NAD83(2011),auto,N/A
