ID,zone,northing,easting,units,inDatum,outDatum,utmZone,eht
20001,4602,697950.42,1152829.27,usft,NAD83(2011),NAD83(2011),auto,N/A
20002,4602,706785.05,1139864.7,usft,NAD83(2011),NAD83(2011),auto,N/A
20003,4602,702504.78,1160994.9,usft,NAD83(2011),NAD83(2011),auto,N/A
20004,4602,697300.01,1161231.15,usft,NAD83(2011),NAD83(2011),auto,N/A
20005,4602,700198.12,1160515.17,usft,NAD83(2011),NAD83(2011),auto,N/A
20006,4602,545864.43,1012528.0799999998,usft,NAD83(2011),NAD83(2011),auto,N/A
20007,4602,545888.61,1013219.59,usft,NAD83(2011),NAD83(2011),auto,N/A
20008,4602,379911.11,1683751.05,usft,NAD83(2011),NAD83(2011),auto,N/A
20009,4602,770695.13,1202334.92,usft,NAD83(2011),NAD83(2011),auto,N/A
20010,4602,789083.71,1202548.1899999995,usft,NAD83(2011),NAD83(2011),auto,N/A
20011,4602,791013.73,1204105.98,usft,NAD83(2011),NAD83(2011),auto,N/A
20012,4602,795248.83,1201654.77,usft,NAD83(2011),NAD83(2011),auto,N/A
20013,4602,791063.35,1204120.64,usft,NAD83(2011),NAD83(2011),auto,N/A
20014,4602,789866.19,1203239.52,usft,NAD83(2011),NAD83(2011),auto,N/A
20015,4602,781691.13,1208458.4399999995,usft,NAD83(2011),NAD83(2011),auto,N/A
20016,4602,798045.73,1200916.1899999995,usft,NAD83(2011),NAD83(2011),auto,N/A
20017,4602,625980.72,1039097.05,usft,NAD83(2011),NAD83(2011),auto,N/A
20018,4602,616971.88,1038192.99,usft,NAD83(2011),NAD83(2011),auto,N/A
20019,4602,111814.88,1113138.67,usft,NAD83(2011),NAD83(2011),auto,N/A
20020,4602,124634.15,1108959.47,usft,NAD83(2011),NAD83(2011),auto,N/A
20021,4602,113318.61,1113610.52,usft,NAD83(2011),NAD83(2011),auto,N/A
20022,4602,104543.67,1117882.59,usft,NAD83(2011),NAD83(2011),auto,N/A
20023,4602,128602.61,1115685.26,usft,NAD83(2011),NAD83(2011),auto,N/A
20024,4602,121718.65,1096028.25,usft,NAD83(2011),NAD83(2011),auto,N/A
20025,4602,101352.65,1126098.41,usft,NAD83(2011),NAD83(2011),auto,N/A
20026,4602,123221.77,1089746.61,usft,NAD83(2011),NAD83(2011),auto,N/A
20027,4602,125105.71,1110684.24,usft,NAD83(2011),NAD83(2011),auto,N/A
20028,4602,305013.24,2237288.15,usft,NAD83(2011),NAD83(2011),auto,N/A
20029,4602,93387.49,1170019.23,usft,NAD83(2011),NAD83(2011),auto,N/A
20030,4602,769172.47,1683504.15,usft,NAD83(2011),NAD83(2011),auto,N/A
20031,4602,353550.57,1934376.88,usft,NAD83(2011),NAD83(2011),auto,N/A
20032,4602,456426.91,1647516.21,usft,NAD83(2011),NAD83(2011),auto,N/A
20033,4602,503236.2,1661563.09,usft,NAD83(2011),NAD83(2011),auto,N/A
20034,4602,460987.31,1645529.84,usft,NAD83(2011),NAD83(2011),auto,N/A
20035,4602,593988.7,1113902.13,usft,NAD83(2011),NAD83(2011),auto,N/A
20036,4602,889270.45,1206890.12,usft,NAD83(2011),NAD83(2011),auto,N/A
20037,4602,744636.81,1263330.2,usft,NAD83(2011),NAD83(2011),auto,N/A
20038,4602,869503.9399999998,2473644.71,usft,NAD83(2011),NAD83(2011),auto,N/A
20039,4602,615960.35,813272.09,usft,NAD83(2011),NAD83(2011),auto,N/A
20040,4602,741458.82,1207942.29,usft,NAD83(2011),NAD83(2011),auto,N/A
20041,4602,721813.18,1223869.13,usft,NAD83(2011),NAD83(2011),auto,N/A
20042,4602,723100.45,1212306.77,usft,NAD83(2011),NAD83(2011),auto,N/A
20043,4602,164644.28,1117945.25,usft,NAD83(2011),NAD83(2011),auto,N/A
20044,4602,839001.75,1223912.55,usft,NAD83(2011),NAD83(2011),auto,N/A
20045,4602,811733.9,1221661.65,usft,NAD83(2011),NAD83(2011),auto,N/A
20046,4602,823758.18,1227046.85,usft,NAD83(2011),NAD83(2011),auto,N/A
20047,4602,829673.3,1225527.16,usft,NAD83(2011),NAD83(2011),auto,N/A
20048,4602,823417.7,1232378.9,usft,NAD83(2011),NAD83(2011),auto,N/A
20049,4602,1259982.87,1166846.1799999995,usft,NAD83(2011),NAD83(2011),auto,N/A
20050,4602,1252731.4,1166493.83,usft,NAD83(2011),NAD83(2011),auto,N/A
20051,4602,894413.1899999998,1224726.26,usft,NAD83(2011),NAD83(2011),auto,N/A
20052,4602,902512.9399999998,1218839.14,usft,NAD83(2011),NAD83(2011),auto,N/A
20053,4602,881767.13,1225257.9,usft,NAD83(2011),NAD83(2011),auto,N/A
20054,4602,806898.71,1097352.76,usft,NAD83(2011),NAD83(2011),auto,N/A
20055,4602,827569.54,1098744.6,usft,NAD83(2011),NAD83(2011),auto,N/A
20056,4602,821287.89,1109967.09,usft,NAD83(2011),NAD83(2011),auto,N/A
20057,4602,670005.91,1259029.41,usft,NAD83(2011),NAD83(2011),auto,N/A
20058,4602,672490.69,1260791.66,usft,NAD83(2011),NAD83(2011),auto,N/A
20059,4602,1146004.51,1148550.0600000005,usft,NAD83(2011),NAD83(2011),auto,N/A
20060,4602,364874.89,1060527.71,usft,NAD83(2011),NAD83(2011),auto,N/A
20061,4602,493473.82,1017691.25,usft,NAD83(2011),NAD83(2011),auto,N/A
20062,4602,491819.19,1018787.74,usft,NAD83(2011),NAD83(2011),auto,N/A
20063,4602,666850.95,1550548.17,usft,NAD83(2011),NAD83(2011),auto,N/A
20064,4602,567182.19,2397819.84,usft,NAD83(2011),NAD83(2011),auto,N/A
20065,4602,940875.28,2187481.56,usft,NAD83(2011),NAD83(2011),auto,N/A
20066,4602,753575.83,1693090.43,usft,NAD83(2011),NAD83(2011),auto,N/A
20067,4602,625073.3100000003,925208.68,usft,NAD83(2011),NAD83(2011),auto,N/A
20068,4602,942450.1899999998,1221680.52,usft,NAD83(2011),NAD83(2011),auto,N/A
20069,4602,942760.73,1213833.55,usft,NAD83(2011),NAD83(2011),auto,N/A
20070,4602,941678.9,1221672.97,usft,NAD83(2011),NAD83(2011),auto,N/A
20071,4602,962567.12,1242638.01,usft,NAD83(2011),NAD83(2011),auto,N/A
20072,4602,1314452.41,1245056.5600000005,usft,NAD83(2011),NAD83(2011),auto,N/A
20073,4602,718592.24,1191624.1899999995,usft,NAD83(2011),NAD83(2011),auto,N/A
20074,4602,719355.63,1192243.76,usft,NAD83(2011),NAD83(2011),auto,N/A
20075,4602,718278.91,1189145.74,usft,NAD83(2011),NAD83(2011),auto,N/A
20076,4602,724565.42,1193562.6899999995,usft,NAD83(2011),NAD83(2011),auto,N/A
20077,4602,749652.29,1115536.1799999995,usft,NAD83(2011),NAD83(2011),auto,N/A
20078,4602,731439.31,1121788.63,usft,NAD83(2011),NAD83(2011),auto,N/A
20079,4602,914956.36,1356874.16,usft,NAD83(2011),NAD83(2011),auto,N/A
20080,4602,178734.85,1558155.46,usft,NAD83(2011),NAD83(2011),auto,N/A
20081,4602,337471.62,1796851.9,usft,NAD83(2011),NAD83(2011),auto,N/A
20082,4602,321905.18,1993066.33,usft,NAD83(2011),NAD83(2011),auto,N/A
20083,4602,747337.97,1220190.4299999995,usft,NAD83(2011),NAD83(2011),auto,N/A
20084,4602,755269.64,1197933.65,usft,NAD83(2011),NAD83(2011),auto,N/A
20085,4602,763984.02,1220282.8200000005,usft,NAD83(2011),NAD83(2011),auto,N/A
20086,4602,773296.31,1208499.1,usft,NAD83(2011),NAD83(2011),auto,N/A
20087,4602,741565.16,1208303.8200000005,usft,NAD83(2011),NAD83(2011),auto,N/A
20088,4602,762229.9,1214400.24,usft,NAD83(2011),NAD83(2011),auto,N/A
20089,4602,746756.14,1221252.59,usft,NAD83(2011),NAD83(2011),auto,N/A
20090,4602,1210234.2,2215595.370000001,usft,NAD83(2011),NAD83(2011),auto,N/A
20091,4602,860561.0629999998,1225522.147,usft,NAD83(2011),NAD83(2011),auto,N/A
20092,4602,868967.86,1226942.5600000005,usft,NAD83(2011),NAD83(2011),auto,N/A
20093,4602,636587.12,1076057.58,usft,NAD83(2011),NAD83(2011),auto,N/A
20094,4602,633062.14,1057748.11,usft,NAD83(2011),NAD83(2011),auto,N/A
20095,4602,634060.11,1061485.89,usft,NAD83(2011),NAD83(2011),auto,N/A
20096,4602,977622.02,1247100.24,usft,NAD83(2011),NAD83(2011),auto,N/A
20097,4602,977613.63,1247102.67,usft,NAD83(2011),NAD83(2011),auto,N/A
20098,4602,671811.22,1151161.33,usft,NAD83(2011),NAD83(2011),auto,N/A
20099,4602,675715.89,1149585.29,usft,NAD83(2011),NAD83(2011),auto,N/A
20100,4602,910550.87,1200013.96,usft,NAD83(2011),NAD83(2011),auto,N/A
20101,4602,909551.98,1192700.0600000005,usft,NAD83(2011),NAD83(2011),auto,N/A
20102,4602,921998.01,1208569.36,usft,NAD83(2011),NAD83(2011),auto,N/A
20103,4602,913837.49,1209676.78,usft,NAD83(2011),NAD83(2011),auto,N/A
20104,4602,917644.66,1197645.26,usft,NAD83(2011),NAD83(2011),auto,N/A
20105,4602,915592.02,1196391.87,usft,NAD83(2011),NAD83(2011),auto,N/A
20106,4602,918466.55,1204944.12,usft,NAD83(2011),NAD83(2011),auto,N/A
20107,4602,984905.99,1230307.37,usft,NAD83(2011),NAD83(2011),auto,N/A
20108,4602,920353.5799999998,1219018.25,usft,NAD83(2011),NAD83(2011),auto,N/A
20109,4602,703085.4,1184903.67,usft,NAD83(2011),NAD83(2011),auto,N/A
20110,4602,446464.11,1246055.23,usft,NAD83(2011),NAD83(2011),auto,N/A
20111,4602,657482.14,1943736.43,usft,NAD83(2011),NAD83(2011),auto,N/A
20112,4602,906399.0600000002,1195547.73,usft,NAD83(2011),NAD83(2011),auto,N/A
20113,4602,1136291.84,1193321.49,usft,NAD83(2011),NAD83(2011),auto,N/A
