ID,zone,northing,easting,units,inDatum,outDatum,utmZone,eht
28001,4602,901649.21,1219937.34,usft,NAD83(2011),NAD83(2011),auto,N/A
28002,4602,897236.43,1223779.54,usft,NAD83(2011),NAD83(2011),auto,N/A
28003,4602,905961.0,1190844.24,usft,NAD83(2011),NAD83(2011),auto,N/A
28004,4602,915625.0799999998,1207445.66,usft,NAD83(2011),NAD83(2011),auto,N/A
28005,4602,915581.26,1207590.51,usft,NAD83(2011),NAD83(2011),auto,N/A
28006,4602,925907.65,1201610.1,usft,NAD83(2011),NAD83(2011),auto,N/A
28007,4602,919358.05,1198695.24,usft,NAD83(2011),NAD83(2011),auto,N/A
28008,4602,912445.47,1194982.0600000005,usft,NAD83(2011),NAD83(2011),auto,N/A
28009,4602,912424.9200000002,1195827.85,usft,NAD83(2011),NAD83(2011),auto,N/A
28010,4602,912487.29,1203822.33,usft,NAD83(2011),NAD83(2011),auto,N/A
28011,4602,921581.5,1199685.05,usft,NAD83(2011),NAD83(2011),auto,N/A
28012,4602,1002319.34,1246383.66,usft,NAD83(2011),NAD83(2011),auto,N/A
28013,4602,964554.72,1224135.51,usft,NAD83(2011),NAD83(2011),auto,N/A
28014,4602,967418.68,1226064.73,usft,NAD83(2011),NAD83(2011),auto,N/A
28015,4602,934845.18,1207501.92,usft,NAD83(2011),NAD83(2011),auto,N/A
28016,4602,932208.5600000002,1205761.67,usft,NAD83(2011),NAD83(2011),auto,N/A
28017,4602,967934.79,1226146.04,usft,NAD83(2011),NAD83(2011),auto,N/A
28018,4602,947826.1,1221948.37,usft,NAD83(2011),NAD83(2011),auto,N/A
28019,4602,896738.93,1189125.39,usft,NAD83(2011),NAD83(2011),auto,N/A
28020,4602,902434.87,1189028.6,usft,NAD83(2011),NAD83(2011),auto,N/A
28021,4602,1033424.82,1227856.04,usft,NAD83(2011),NAD83(2011),auto,N/A
28022,4602,897442.07,1193620.86,usft,NAD83(2011),NAD83(2011),auto,N/A
28023,4602,904041.4,1194230.72,usft,NAD83(2011),NAD83(2011),auto,N/A
28024,4602,898757.24,1193747.99,usft,NAD83(2011),NAD83(2011),auto,N/A
28025,4602,934671.3100000002,1203571.85,usft,NAD83(2011),NAD83(2011),auto,N/A
28026,4602,995887.9200000002,1228563.77,usft,NAD83(2011),NAD83(2011),auto,N/A
28027,4602,991157.99,1229248.5,usft,NAD83(2011),NAD83(2011),auto,N/A
28028,4602,1011046.4200000002,1228538.04,usft,NAD83(2011),NAD83(2011),auto,N/A
28029,4602,932410.4200000002,1228185.08,usft,NAD83(2011),NAD83(2011),auto,N/A
28030,4602,934166.13,1215757.2,usft,NAD83(2011),NAD83(2011),auto,N/A
28031,4602,923215.41,1218507.88,usft,NAD83(2011),NAD83(2011),auto,N/A
28032,4602,926533.4200000002,1324583.39,usft,NAD83(2011),NAD83(2011),auto,N/A
28033,4602,822554.39,2451643.71,usft,NAD83(2011),NAD83(2011),auto,N/A
28034,4602,862736.04,2443790.75,usft,NAD83(2011),NAD83(2011),auto,N/A
28035,4602,861175.75,2406550.91,usft,NAD83(2011),NAD83(2011),auto,N/A
28036,4602,861696.13,2412867.82,usft,NAD83(2011),NAD83(2011),auto,N/A
28037,4602,911668.49,2414129.72,usft,NAD83(2011),NAD83(2011),auto,N/A
28038,4602,883399.84,2398039.640000001,usft,NAD83(2011),NAD83(2011),auto,N/A
28039,4602,747342.38,2460408.69,usft,NAD83(2011),NAD83(2011),auto,N/A
28040,4602,591183.6,1117249.39,usft,NAD83(2011),NAD83(2011),auto,N/A
28041,4602,1311839.75,1162564.16,usft,NAD83(2011),NAD83(2011),auto,N/A
28042,4602,1285029.33,1161844.91,usft,NAD83(2011),NAD83(2011),auto,N/A
28043,4602,1250522.52,1165666.8,usft,NAD83(2011),NAD83(2011),auto,N/A
28044,4602,1232567.27,1167700.9299999995,usft,NAD83(2011),NAD83(2011),auto,N/A
28045,4602,513082.5,2467189.29,usft,NAD83(2011),NAD83(2011),auto,N/A
28046,4602,526697.69,2472782.41,usft,NAD83(2011),NAD83(2011),auto,N/A
28047,4602,479653.4600000001,1632780.41,usft,NAD83(2011),NAD83(2011),auto,N/A
28048,4602,480275.17,1633310.54,usft,NAD83(2011),NAD83(2011),auto,N/A
28049,4602,373529.24,1771943.94,usft,NAD83(2011),NAD83(2011),auto,N/A
28050,4602,335033.24,1767035.82,usft,NAD83(2011),NAD83(2011),auto,N/A
28051,4602,372457.49,1717408.57,usft,NAD83(2011),NAD83(2011),auto,N/A
28052,4602,329736.77,1963469.36,usft,NAD83(2011),NAD83(2011),auto,N/A
