ID,zone,northing,easting,units,inDatum,outDatum,utmZone,eht
36001,4602,305553.01,1028077.9399999998,usft,NAD83(2011),NAD83(2011),auto,N/A
36002,4602,832854.49,1707443.08,usft,NAD83(2011),NAD83(2011),auto,N/A
36003,4602,849906.45,1732453.6299999997,usft,NAD83(2011),NAD83(2011),auto,N/A
36004,4602,1247747.89,2084506.99,usft,NAD83(2011),NAD83(2011),auto,N/A
36005,4602,1195412.5700000005,2092340.57,usft,NAD83(2011),NAD83(2011),auto,N/A
36006,4602,1250208.8200000005,2085427.8700000003,usft,NAD83(2011),NAD83(2011),auto,N/A
36007,4602,342187.36,1973750.92,usft,NAD83(2011),NAD83(2011),auto,N/A
36008,4602,334420.25,1987391.54,usft,NAD83(2011),NAD83(2011),auto,N/A
36009,4602,334318.06,1987364.17,usft,NAD83(2011),NAD83(2011),auto,N/A
36010,4602,342483.47,1973690.43,usft,NAD83(2011),NAD83(2011),auto,N/A
36011,4602,420100.15,2422446.86,usft,NAD83(2011),NAD83(2011),auto,N/A
36012,4602,727672.72,1876349.51,usft,NAD83(2011),NAD83(2011),auto,N/A
36013,4602,618460.27,795168.5,usft,NAD83(2011),NAD83(2011),auto,N/A
36014,4602,621144.6,776998.11,usft,NAD83(2011),NAD83(2011),auto,N/A
36015,4602,614373.83,810298.9,usft,NAD83(2011),NAD83(2011),auto,N/A
36016,4602,616791.77,814298.94,usft,NAD83(2011),NAD83(2011),auto,N/A
36017,4602,888684.54,1226133.8,usft,NAD83(2011),NAD83(2011),auto,N/A
36018,4602,886341.64,1225456.1,usft,NAD83(2011),NAD83(2011),auto,N/A
36019,4602,884550.4,1225366.08,usft,NAD83(2011),NAD83(2011),auto,N/A
36020,4602,723327.24,1203919.98,usft,NAD83(2011),NAD83(2011),auto,N/A
36021,4602,719693.49,1215281.34,usft,NAD83(2011),NAD83(2011),auto,N/A
36022,4602,723037.2,1204794.46,usft,NAD83(2011),NAD83(2011),auto,N/A
36023,4602,720831.61,1214250.74,usft,NAD83(2011),NAD83(2011),auto,N/A
36024,4602,888330.77,1225934.09,usft,NAD83(2011),NAD83(2011),auto,N/A
36025,4602,888344.21,1225939.26,usft,NAD83(2011),NAD83(2011),auto,N/A
36026,4602,883193.9,1225268.72,usft,NAD83(2011),NAD83(2011),auto,N/A
36027,4602,835540.92,1223931.9299999995,usft,NAD83(2011),NAD83(2011),auto,N/A
36028,4602,836847.81,1223850.96,usft,NAD83(2011),NAD83(2011),auto,N/A
36029,4602,823492.85,1227071.1,usft,NAD83(2011),NAD83(2011),auto,N/A
36030,4602,837438.72,1223316.22,usft,NAD83(2011),NAD83(2011),auto,N/A
36031,4602,824069.25,1228558.14,usft,NAD83(2011),NAD83(2011),auto,N/A
36032,4602,832131.54,1224846.05,usft,NAD83(2011),NAD83(2011),auto,N/A
36033,4602,841808.16,1227369.1799999995,usft,NAD83(2011),NAD83(2011),auto,N/A
36034,4602,816420.94,1223657.95,usft,NAD83(2011),NAD83(2011),auto,N/A
36035,4602,841321.72,1223969.75,usft,NAD83(2011),NAD83(2011),auto,N/A
36036,4602,836407.05,1223955.1899999995,usft,NAD83(2011),NAD83(2011),auto,N/A
36037,4602,832341.84,1224847.6,usft,NAD83(2011),NAD83(2011),auto,N/A
36038,4602,826471.75,1225894.85,usft,NAD83(2011),NAD83(2011),auto,N/A
36039,4602,818586.6,1224651.9399999995,usft,NAD83(2011),NAD83(2011),auto,N/A
36040,4602,835427.5,1223772.9299999995,usft,NAD83(2011),NAD83(2011),auto,N/A
36041,4602,830846.75,1225846.2,usft,NAD83(2011),NAD83(2011),auto,N/A
36042,4602,826748.59,1225940.27,usft,NAD83(2011),NAD83(2011),auto,N/A
36043,4602,812294.09,1253951.87,usft,NAD83(2011),NAD83(2011),auto,N/A
36044,4602,876814.04,1274403.66,usft,NAD83(2011),NAD83(2011),auto,N/A
36045,4602,718384.19,1193045.35,usft,NAD83(2011),NAD83(2011),auto,N/A
36046,4602,732388.26,1195585.75,usft,NAD83(2011),NAD83(2011),auto,N/A
36047,4602,723106.16,1193316.76,usft,NAD83(2011),NAD83(2011),auto,N/A
36048,4602,723311.03,1193368.91,usft,NAD83(2011),NAD83(2011),auto,N/A
36049,4602,718585.68,1190392.75,usft,NAD83(2011),NAD83(2011),auto,N/A
36050,4602,726630.65,1190605.75,usft,NAD83(2011),NAD83(2011),auto,N/A
36051,4602,755449.21,1196909.52,usft,NAD83(2011),NAD83(2011),auto,N/A
36052,4602,762737.91,1214930.12,usft,NAD83(2011),NAD83(2011),auto,N/A
36053,4602,743482.39,1191981.67,usft,NAD83(2011),NAD83(2011),auto,N/A
36054,4602,753113.1,1207565.59,usft,NAD83(2011),NAD83(2011),auto,N/A
36055,4602,749091.94,1218634.1899999995,usft,NAD83(2011),NAD83(2011),auto,N/A
36056,4602,742712.89,1227977.03,usft,NAD83(2011),NAD83(2011),auto,N/A
36057,4602,752287.94,1212942.73,usft,NAD83(2011),NAD83(2011),auto,N/A
