ID,zone,northing,easting,units,inDatum,outDatum,utmZone,eht
48001,4602,878263.91,2400923.56,usft,NAD83(2011),NAD83(2011),auto,N/A
48002,4602,892892.32,2400243.49,usft,NAD83(2011),NAD83(2011),auto,N/A
48003,4602,865626.29,2401405.8,usft,NAD83(2011),NAD83(2011),auto,N/A
48004,4602,861654.74,2411699.47,usft,NAD83(2011),NAD83(2011),auto,N/A
48005,4602,858421.4200000002,2392102.08,usft,NAD83(2011),NAD83(2011),auto,N/A
48006,4602,1005177.6700000002,2315454.23,usft,NAD83(2011),NAD83(2011),auto,N/A
48007,4602,1305281.62,1352927.23,usft,NAD83(2011),NAD83(2011),auto,N/A
48008,4602,676938.47,1210390.5700000005,usft,NAD83(2011),NAD83(2011),auto,N/A
48009,4602,686319.71,1203523.24,usft,NAD83(2011),NAD83(2011),auto,N/A
48010,4602,685915.19,1201836.95,usft,NAD83(2011),NAD83(2011),auto,N/A
48011,4602,687930.14,1205926.0,usft,NAD83(2011),NAD83(2011),auto,N/A
48012,4602,690018.9,1206313.1799999995,usft,NAD83(2011),NAD83(2011),auto,N/A
48013,4602,686768.98,1152815.3100000005,usft,NAD83(2011),NAD83(2011),auto,N/A
48014,4602,699403.32,1148098.4399999995,usft,NAD83(2011),NAD83(2011),auto,N/A
48015,4602,686868.72,1152828.42,usft,NAD83(2011),NAD83(2011),auto,N/A
48016,4602,687018.49,1152851.72,usft,NAD83(2011),NAD83(2011),auto,N/A
48017,4602,690813.46,1152750.3200000005,usft,NAD83(2011),NAD83(2011),auto,N/A
48018,4602,698515.33,1159438.71,usft,NAD83(2011),NAD83(2011),auto,N/A
48019,4602,699096.43,1161577.03,usft,NAD83(2011),NAD83(2011),auto,N/A
48020,4602,666179.1899999997,1159077.71,usft,NAD83(2011),NAD83(2011),auto,N/A
48021,4602,651659.33,1158629.87,usft,NAD83(2011),NAD83(2011),auto,N/A
48022,4602,647418.6800000003,1158490.45,usft,NAD83(2011),NAD83(2011),auto,N/A
48023,4602,679904.12,1152261.66,usft,NAD83(2011),NAD83(2011),auto,N/A
48024,4602,683509.43,1152702.59,usft,NAD83(2011),NAD83(2011),auto,N/A
48025,4602,711503.15,1176760.9,usft,NAD83(2011),NAD83(2011),auto,N/A
48026,4602,706926.68,1159275.42,usft,NAD83(2011),NAD83(2011),auto,N/A
48027,4602,700770.5,1166473.08,usft,NAD83(2011),NAD83(2011),auto,N/A
48028,4602,700643.81,1165261.21,usft,NAD83(2011),NAD83(2011),auto,N/A
48029,4602,689188.6,1152903.8,usft,NAD83(2011),NAD83(2011),auto,N/A
48030,4602,683802.13,1153217.46,usft,NAD83(2011),NAD83(2011),auto,N/A
48031,4602,685082.99,1152652.5600000005,usft,NAD83(2011),NAD83(2011),auto,N/A
48032,4602,344324.84,1667827.98,usft,NAD83(2011),NAD83(2011),auto,N/A
48033,4602,802728.14,1191636.58,usft,NAD83(2011),NAD83(2011),auto,N/A
48034,4602,779645.18,1203991.49,usft,NAD83(2011),NAD83(2011),auto,N/A
48035,4602,789928.8,1201301.74,usft,NAD83(2011),NAD83(2011),auto,N/A
48036,4602,779412.01,1204204.47,usft,NAD83(2011),NAD83(2011),auto,N/A
48037,4602,781177.47,1208750.5700000005,usft,NAD83(2011),NAD83(2011),auto,N/A
48038,4602,781464.27,1208712.67,usft,NAD83(2011),NAD83(2011),auto,N/A
48039,4602,782005.08,1209184.55,usft,NAD83(2011),NAD83(2011),auto,N/A
48040,4602,795599.45,1201422.38,usft,NAD83(2011),NAD83(2011),auto,N/A
48041,4602,782523.41,1201379.63,usft,NAD83(2011),NAD83(2011),auto,N/A
48042,4602,781546.42,1208298.37,usft,NAD83(2011),NAD83(2011),auto,N/A
48043,4602,783910.78,1203056.5700000005,usft,NAD83(2011),NAD83(2011),auto,N/A
48044,4602,781424.1,1208147.21,usft,NAD83(2011),NAD83(2011),auto,N/A
48045,4602,583480.38,1026813.71,usft,NAD83(2011),NAD83(2011),auto,N/A
48046,4602,599875.86,1034814.91,usft,NAD83(2011),NAD83(2011),auto,N/A
48047,4602,539108.57,1013150.1899999998,usft,NAD83(2011),NAD83(2011),auto,N/A
48048,4602,442152.13,1647845.58,usft,NAD83(2011),NAD83(2011),auto,N/A
48049,4602,448832.74,1647414.09,usft,NAD83(2011),NAD83(2011),auto,N/A
48050,4602,448468.74,1647185.18,usft,NAD83(2011),NAD83(2011),auto,N/A
48051,4602,442082.26,1647881.41,usft,NAD83(2011),NAD83(2011),auto,N/A
48052,4602,101864.13,1124814.0700000005,usft,NAD83(2011),NAD83(2011),auto,N/A
48053,4602,128288.69,1115696.9399999995,usft,NAD83(2011),NAD83(2011),auto,N/A
48054,4602,118462.66,1087394.36,usft,NAD83(2011),NAD83(2011),auto,N/A
48055,4602,127743.0,1109319.89,usft,NAD83(2011),NAD83(2011),auto,N/A
48056,4602,125651.53,1111306.95,usft,NAD83(2011),NAD83(2011),auto,N/A
48057,4602,98068.41,1134593.15,usft,NAD83(2011),NAD83(2011),auto,N/A
48058,4602,149136.55,1090580.99,usft,NAD83(2011),NAD83(2011),auto,N/A
48059,4602,135910.0,1087226.21,usft,NAD83(2011),NAD83(2011),auto,N/A
48060,4602,118967.12,1087490.71,usft,NAD83(2011),NAD83(2011),auto,N/A
48061,4602,125475.2,1087115.83,usft,NAD83(2011),NAD83(2011),auto,N/A
48062,4602,267816.07,2041282.43,usft,NAD83(2011),NAD83(2011),auto,N/A
48063,4602,591201.1800000003,1983007.26,usft,NAD83(2011),NAD83(2011),auto,N/A
48064,4602,94324.24,1165104.61,usft,NAD83(2011),NAD83(2011),auto,N/A
48065,4602,594726.84,1113027.47,usft,NAD83(2011),NAD83(2011),auto,N/A
48066,4602,592110.25,1116136.5,usft,NAD83(2011),NAD83(2011),auto,N/A
48067,4602,754803.42,1257574.08,usft,NAD83(2011),NAD83(2011),auto,N/A
48068,4602,770718.46,1253399.89,usft,NAD83(2011),NAD83(2011),auto,N/A
48069,4602,760599.72,1260041.26,usft,NAD83(2011),NAD83(2011),auto,N/A
48070,4602,743170.31,1262791.15,usft,NAD83(2011),NAD83(2011),auto,N/A
48071,4602,742137.48,1256032.6,usft,NAD83(2011),NAD83(2011),auto,N/A
48072,4602,742284.18,1250311.52,usft,NAD83(2011),NAD83(2011),auto,N/A
48073,4602,870329.85,2449815.45,usft,NAD83(2011),NAD83(2011),auto,N/A
48074,4602,889480.12,2483645.53,usft,NAD83(2011),NAD83(2011),auto,N/A
48075,4602,794304.32,2469784.53,usft,NAD83(2011),NAD83(2011),auto,N/A
48076,4602,875575.02,2442128.43,usft,NAD83(2011),NAD83(2011),auto,N/A
48077,4602,871465.37,2443486.96,usft,NAD83(2011),NAD83(2011),auto,N/A
48078,4602,142078.24,1356078.19,usft,NAD83(2011),NAD83(2011),auto,N/A
48079,4602,614970.76,811193.07,usft,NAD83(2011),NAD83(2011),auto,N/A
48080,4602,855697.37,2362165.81,usft,NAD83(2011),NAD83(2011),auto,N/A
48081,4602,1075102.13,1294087.98,usft,NAD83(2011),NAD83(2011),auto,N/A
48082,4602,1032600.26,1229497.23,usft,NAD83(2011),NAD83(2011),auto,N/A
48083,4602,1047930.11,1223650.4399999995,usft,NAD83(2011),NAD83(2011),auto,N/A
48084,4602,1070933.83,1269078.6,usft,NAD83(2011),NAD83(2011),auto,N/A
48085,4602,1026323.78,1246499.65,usft,NAD83(2011),NAD83(2011),auto,N/A
48086,4602,722822.9,1205406.6799999995,usft,NAD83(2011),NAD83(2011),auto,N/A
48087,4602,722974.86,1204579.92,usft,NAD83(2011),NAD83(2011),auto,N/A
48088,4602,722016.66,1212694.3200000005,usft,NAD83(2011),NAD83(2011),auto,N/A
48089,4602,723028.47,1212658.0700000005,usft,NAD83(2011),NAD83(2011),auto,N/A
48090,4602,723263.21,1204116.24,usft,NAD83(2011),NAD83(2011),auto,N/A
48091,4602,838010.11,1223969.79,usft,NAD83(2011),NAD83(2011),auto,N/A
48092,4602,835361.19,1223775.51,usft,NAD83(2011),NAD83(2011),auto,N/A
48093,4602,828015.33,1225554.5,usft,NAD83(2011),NAD83(2011),auto,N/A
48094,4602,823668.02,1230886.96,usft,NAD83(2011),NAD83(2011),auto,N/A
48095,4602,837999.34,1223789.4,usft,NAD83(2011),NAD83(2011),auto,N/A
48096,4602,823365.66,1234037.87,usft,NAD83(2011),NAD83(2011),auto,N/A
48097,4602,823775.63,1229662.24,usft,NAD83(2011),NAD83(2011),auto,N/A
48098,4602,833249.78,1224429.6799999995,usft,NAD83(2011),NAD83(2011),auto,N/A
48099,4602,828439.64,1225540.5600000005,usft,NAD83(2011),NAD83(2011),auto,N/A
48100,4602,842915.85,1235292.27,usft,NAD83(2011),NAD83(2011),auto,N/A
48101,4602,823695.98,1225730.37,usft,NAD83(2011),NAD83(2011),auto,N/A
48102,4602,840730.9,1224045.3200000005,usft,NAD83(2011),NAD83(2011),auto,N/A
48103,4602,823733.59,1222884.0,usft,NAD83(2011),NAD83(2011),auto,N/A
48104,4602,824689.75,1234961.49,usft,NAD83(2011),NAD83(2011),auto,N/A
48105,4602,824647.96,1234974.46,usft,NAD83(2011),NAD83(2011),auto,N/A
48106,4602,1260361.55,1167555.42,usft,NAD83(2011),NAD83(2011),auto,N/A
48107,4602,1270808.46,1161480.21,usft,NAD83(2011),NAD83(2011),auto,N/A
48108,4602,1270782.7,1161478.0,usft,NAD83(2011),NAD83(2011),auto,N/A
48109,4602,1264565.4399999995,1159726.48,usft,NAD83(2011),NAD83(2011),auto,N/A
48110,4602,1254302.64,1166951.29,usft,NAD83(2011),NAD83(2011),auto,N/A
48111,4602,1288158.15,1361232.04,usft,NAD83(2011),NAD83(2011),auto,N/A
48112,4602,1288079.03,1361118.4,usft,NAD83(2011),NAD83(2011),auto,N/A
48113,4602,1264486.99,1161463.3200000005,usft,NAD83(2011),NAD83(2011),auto,N/A
48114,4602,1253914.83,1166898.23,usft,NAD83(2011),NAD83(2011),auto,N/A
48115,4602,341357.15,1896455.21,usft,NAD83(2011),NAD83(2011),auto,N/A
48116,4602,337100.25,1901577.43,usft,NAD83(2011),NAD83(2011),auto,N/A
48117,4602,904199.9,1216886.74,usft,NAD83(2011),NAD83(2011),auto,N/A
48118,4602,904512.26,1216499.8200000005,usft,NAD83(2011),NAD83(2011),auto,N/A
