ID,zone,northing,easting,units,inDatum,outDatum,utmZone,eht
36001,4602,898136.8299999998,1186795.89,usft,NAD83(2011),NAD83(2011),auto,N/A
36002,4602,896734.61,1189122.83,usft,NAD83(2011),NAD83(2011),auto,N/A
36003,4602,904690.53,1190191.09,usft,NAD83(2011),NAD83(2011),auto,N/A
36004,4602,904013.3299999998,1189841.88,usft,NAD83(2011),NAD83(2011),auto,N/A
36005,4602,821824.01,1191134.71,usft,NAD83(2011),NAD83(2011),auto,N/A
36006,4602,900752.49,1188161.64,usft,NAD83(2011),NAD83(2011),auto,N/A
36007,4602,896738.93,1189125.39,usft,NAD83(2011),NAD83(2011),auto,N/A
36008,4602,970486.01,1222933.37,usft,NAD83(2011),NAD83(2011),auto,N/A
36009,4602,968528.84,1226162.13,usft,NAD83(2011),NAD83(2011),auto,N/A
36010,4602,981137.9399999998,1226564.59,usft,NAD83(2011),NAD83(2011),auto,N/A
36011,4602,949052.0,1205421.02,usft,NAD83(2011),NAD83(2011),auto,N/A
36012,4602,944022.11,1217254.39,usft,NAD83(2011),NAD83(2011),auto,N/A
36013,4602,968528.84,1226162.13,usft,NAD83(2011),NAD83(2011),auto,N/A
36014,4602,947778.3,1221460.34,usft,NAD83(2011),NAD83(2011),auto,N/A
36015,4602,983292.29,1222762.66,usft,NAD83(2011),NAD83(2011),auto,N/A
36016,4602,826171.51,1191279.89,usft,NAD83(2011),NAD83(2011),auto,N/A
36017,4602,937371.14,1202434.1799999995,usft,NAD83(2011),NAD83(2011),auto,N/A
36018,4602,909475.8,1192657.0,usft,NAD83(2011),NAD83(2011),auto,N/A
36019,4602,912458.14,1194445.64,usft,NAD83(2011),NAD83(2011),auto,N/A
36020,4602,994827.29,1230160.4299999995,usft,NAD83(2011),NAD83(2011),auto,N/A
36021,4602,1032549.45,1226965.86,usft,NAD83(2011),NAD83(2011),auto,N/A
36022,4602,932446.72,1227150.48,usft,NAD83(2011),NAD83(2011),auto,N/A
