ID,zone,northing,easting,units,inDatum,outDatum,utmZone,eht
4001,4602,888176.23,1190239.62,usft,NAD83(2011),NAD83(2011),auto,N/A
4002,4602,869601.25,1471954.89,usft,NAD83(2011),NAD83(2011),auto,N/A
4003,4602,769580.21,1201678.37,usft,NAD83(2011),NAD83(2011),auto,N/A
4004,4602,781848.36,1196520.14,usft,NAD83(2011),NAD83(2011),auto,N/A
4005,4602,770505.6,1202122.1,usft,NAD83(2011),NAD83(2011),auto,N/A
4006,4602,846715.65,1190920.96,usft,NAD83(2011),NAD83(2011),auto,N/A
4007,4602,836469.67,1188961.8100000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4008,4602,838425.46,1189357.01,usft,NAD83(2011),NAD83(2011),auto,N/A
4009,4602,862967.1,1190947.3,usft,NAD83(2011),NAD83(2011),auto,N/A
4010,4602,837301.86,1189125.3100000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4011,4602,828003.36,1196044.74,usft,NAD83(2011),NAD83(2011),auto,N/A
4012,4602,840192.91,1189581.58,usft,NAD83(2011),NAD83(2011),auto,N/A
4013,4602,855509.25,1191762.51,usft,NAD83(2011),NAD83(2011),auto,N/A
4014,4602,836947.77,1189014.4299999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4015,4602,837644.03,1189211.62,usft,NAD83(2011),NAD83(2011),auto,N/A
4016,4602,822048.48,1191556.83,usft,NAD83(2011),NAD83(2011),auto,N/A
4017,4602,821712.97,1191196.77,usft,NAD83(2011),NAD83(2011),auto,N/A
4018,4602,862203.64,1191522.63,usft,NAD83(2011),NAD83(2011),auto,N/A
4019,4602,871911.9,1189949.88,usft,NAD83(2011),NAD83(2011),auto,N/A
4020,4602,880325.15,1191366.28,usft,NAD83(2011),NAD83(2011),auto,N/A
4021,4602,863683.35,1194057.62,usft,NAD83(2011),NAD83(2011),auto,N/A
4022,4602,840836.5,1188061.4399999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4023,4602,840836.5,1188061.4399999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4024,4602,828097.85,1200068.5,usft,NAD83(2011),NAD83(2011),auto,N/A
4025,4602,864086.37,1194465.3,usft,NAD83(2011),NAD83(2011),auto,N/A
4026,4602,863682.53,1194058.4399999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4027,4602,843395.02,1190560.34,usft,NAD83(2011),NAD83(2011),auto,N/A
4028,4602,880271.48,1191624.97,usft,NAD83(2011),NAD83(2011),auto,N/A
4029,4602,879444.84,1191412.3200000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4030,4602,847273.14,1191346.6,usft,NAD83(2011),NAD83(2011),auto,N/A
4031,4602,871658.62,1189975.9399999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4032,4602,837180.9,1189167.14,usft,NAD83(2011),NAD83(2011),auto,N/A
4033,4602,847492.97,1191047.99,usft,NAD83(2011),NAD83(2011),auto,N/A
4034,4602,828334.63,1188871.87,usft,NAD83(2011),NAD83(2011),auto,N/A
4035,4602,889271.55,1207401.0700000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4036,4602,742368.96,1261221.12,usft,NAD83(2011),NAD83(2011),auto,N/A
4037,4602,757815.82,1258097.0,usft,NAD83(2011),NAD83(2011),auto,N/A
4038,4602,742329.26,1248266.46,usft,NAD83(2011),NAD83(2011),auto,N/A
4039,4602,773494.07,1208478.3,usft,NAD83(2011),NAD83(2011),auto,N/A
4040,4602,790291.03,1201134.8100000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4041,4602,780418.5,1203852.8200000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4042,4602,781688.92,1208146.72,usft,NAD83(2011),NAD83(2011),auto,N/A
4043,4602,792841.65,1199892.49,usft,NAD83(2011),NAD83(2011),auto,N/A
4044,4602,782387.56,1203154.8200000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4045,4602,781178.2,1206107.42,usft,NAD83(2011),NAD83(2011),auto,N/A
4046,4602,781834.35,1208789.38,usft,NAD83(2011),NAD83(2011),auto,N/A
4047,4602,781460.95,1202788.54,usft,NAD83(2011),NAD83(2011),auto,N/A
4048,4602,781832.59,1208780.86,usft,NAD83(2011),NAD83(2011),auto,N/A
4049,4602,782412.47,1201612.76,usft,NAD83(2011),NAD83(2011),auto,N/A
4050,4602,763090.47,1409675.73,usft,NAD83(2011),NAD83(2011),auto,N/A
4051,4602,770390.12,1354786.97,usft,NAD83(2011),NAD83(2011),auto,N/A
4052,4602,762919.64,1370371.5,usft,NAD83(2011),NAD83(2011),auto,N/A
4053,4602,798389.18,1310001.63,usft,NAD83(2011),NAD83(2011),auto,N/A
4054,4602,772662.68,1344942.75,usft,NAD83(2011),NAD83(2011),auto,N/A
4055,4602,856034.1,1244536.6799999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4056,4602,854586.3100000002,1239439.4399999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4057,4602,857127.54,1242195.41,usft,NAD83(2011),NAD83(2011),auto,N/A
4058,4602,854200.507,1246477.8100000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4059,4602,843498.88,1235692.79,usft,NAD83(2011),NAD83(2011),auto,N/A
4060,4602,782805.11,1212185.66,usft,NAD83(2011),NAD83(2011),auto,N/A
4061,4602,791001.58,1221947.92,usft,NAD83(2011),NAD83(2011),auto,N/A
4062,4602,786144.25,1223931.5600000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4063,4602,786331.14,1224925.4299999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4064,4602,785817.27,1218893.67,usft,NAD83(2011),NAD83(2011),auto,N/A
4065,4602,787654.77,1219027.33,usft,NAD83(2011),NAD83(2011),auto,N/A
4066,4602,787970.98,1215813.47,usft,NAD83(2011),NAD83(2011),auto,N/A
4067,4602,774706.08,1220522.73,usft,NAD83(2011),NAD83(2011),auto,N/A
4068,4602,784104.72,1215545.04,usft,NAD83(2011),NAD83(2011),auto,N/A
4069,4602,782942.9,1214697.0700000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4070,4602,800924.34,1220756.1,usft,NAD83(2011),NAD83(2011),auto,N/A
4071,4602,788908.62,1221029.1899999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4072,4602,776305.24,1216010.49,usft,NAD83(2011),NAD83(2011),auto,N/A
4073,4602,802727.6,1220807.87,usft,NAD83(2011),NAD83(2011),auto,N/A
4074,4602,787343.24,1219799.76,usft,NAD83(2011),NAD83(2011),auto,N/A
4075,4602,785210.63,1216012.96,usft,NAD83(2011),NAD83(2011),auto,N/A
4076,4602,791225.98,1222139.23,usft,NAD83(2011),NAD83(2011),auto,N/A
4077,4602,796387.21,1226319.3,usft,NAD83(2011),NAD83(2011),auto,N/A
