ID,zone,northing,easting,units,inDatum,outDatum,utmZone,eht
16001,4602,726766.52,1194145.92,usft,NAD83(2011),NAD83(2011),auto,N/A
16002,4602,701860.13,1179213.9,usft,NAD83(2011),NAD83(2011),auto,N/A
16003,4602,702173.74,1184605.72,usft,NAD83(2011),NAD83(2011),auto,N/A
16004,4602,701922.43,1184435.53,usft,NAD83(2011),NAD83(2011),auto,N/A
16005,4602,700998.05,1177650.04,usft,NAD83(2011),NAD83(2011),auto,N/A
16006,4602,701804.32,1184452.92,usft,NAD83(2011),NAD83(2011),auto,N/A
16007,4602,442327.13,787558.06,usft,NAD83(2011),NAD83(2011),auto,N/A
16008,4602,811999.1,1254449.75,usft,NAD83(2011),NAD83(2011),auto,N/A
16009,4602,305924.4,1030050.5600000002,usft,NAD83(2011),NAD83(2011),auto,N/A
16010,4602,322354.69,1979900.49,usft,NAD83(2011),NAD83(2011),auto,N/A
16011,4602,319115.58000000013,1979945.58,usft,NAD83(2011),NAD83(2011),auto,N/A
16012,4602,743385.37,1194898.51,usft,NAD83(2011),NAD83(2011),auto,N/A
16013,4602,752292.12,1211599.2,usft,NAD83(2011),NAD83(2011),auto,N/A
16014,4602,771127.13,1215002.36,usft,NAD83(2011),NAD83(2011),auto,N/A
16015,4602,871175.13,1226225.61,usft,NAD83(2011),NAD83(2011),auto,N/A
16016,4602,852061.77,1224681.1,usft,NAD83(2011),NAD83(2011),auto,N/A
16017,4602,880890.75,1199306.6799999995,usft,NAD83(2011),NAD83(2011),auto,N/A
16018,4602,882586.15,1200066.99,usft,NAD83(2011),NAD83(2011),auto,N/A
16019,4602,673675.04,1147541.64,usft,NAD83(2011),NAD83(2011),auto,N/A
16020,4602,671369.15,1159202.11,usft,NAD83(2011),NAD83(2011),auto,N/A
16021,4602,664789.91,1137245.02,usft,NAD83(2011),NAD83(2011),auto,N/A
16022,4602,805296.65,1624376.47,usft,NAD83(2011),NAD83(2011),auto,N/A
16023,4602,909483.4399999998,1199634.9,usft,NAD83(2011),NAD83(2011),auto,N/A
16024,4602,922596.84,1208445.63,usft,NAD83(2011),NAD83(2011),auto,N/A
16025,4602,917933.37,1207993.5,usft,NAD83(2011),NAD83(2011),auto,N/A
16026,4602,995782.71,1232476.36,usft,NAD83(2011),NAD83(2011),auto,N/A
16027,4602,616442.39,876598.9200000002,usft,NAD83(2011),NAD83(2011),auto,N/A
16028,4602,644770.85,1965805.27,usft,NAD83(2011),NAD83(2011),auto,N/A
16029,4602,647061.64,1935400.89,usft,NAD83(2011),NAD83(2011),auto,N/A
16030,4602,443975.7899999999,1132857.73,usft,NAD83(2011),NAD83(2011),auto,N/A
16031,4602,903265.4399999998,1194080.71,usft,NAD83(2011),NAD83(2011),auto,N/A
16032,4602,1130359.15,1195011.88,usft,NAD83(2011),NAD83(2011),auto,N/A
16033,4602,1134495.09,1211894.4299999995,usft,NAD83(2011),NAD83(2011),auto,N/A
16034,4602,479193.42,1455055.29,usft,NAD83(2011),NAD83(2011),auto,N/A
16035,4602,446283.0399999999,1042338.75,usft,NAD83(2011),NAD83(2011),auto,N/A
16036,4602,475115.6,1034272.51,usft,NAD83(2011),NAD83(2011),auto,N/A
16037,4602,1042785.75,2459678.66,usft,NAD83(2011),NAD83(2011),auto,N/A
16038,4602,630236.87,1075781.78,usft,NAD83(2011),NAD83(2011),auto,N/A
