ID,zone,northing,easting,units,inDatum,outDatum,utmZone,eht
4001,4602,111773.71,1113413.83,usft,NAD83(2011),NAD83(2011),auto,N/A
4002,4602,161985.12,1117887.65,usft,NAD83(2011),NAD83(2011),auto,N/A
4003,4602,295425.84000000014,1018478.76,usft,NAD83(2011),NAD83(2011),auto,N/A
4004,4602,341743.13,1975895.24,usft,NAD83(2011),NAD83(2011),auto,N/A
4005,4602,337695.01,1767037.49,usft,NAD83(2011),NAD83(2011),auto,N/A
4006,4602,616477.52,803872.86,usft,NAD83(2011),NAD83(2011),auto,N/A
4007,4602,610048.63,822733.5,usft,NAD83(2011),NAD83(2011),auto,N/A
4008,4602,614676.28,810096.13,usft,NAD83(2011),NAD83(2011),auto,N/A
4009,4602,1114502.03,1116910.59,usft,NAD83(2011),NAD83(2011),auto,N/A
4010,4602,1018282.22,1077076.03,usft,NAD83(2011),NAD83(2011),auto,N/A
4011,4602,712093.25,1203698.3100000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4012,4602,769876.31,1186076.78,usft,NAD83(2011),NAD83(2011),auto,N/A
4013,4602,759290.03,1373530.51,usft,NAD83(2011),NAD83(2011),auto,N/A
4014,4602,782533.97,1218000.85,usft,NAD83(2011),NAD83(2011),auto,N/A
4015,4602,787412.37,1215523.9399999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4016,4602,298145.7,1637730.4,usft,NAD83(2011),NAD83(2011),auto,N/A
4017,4602,788882.15,1220846.29,usft,NAD83(2011),NAD83(2011),auto,N/A
4018,4602,781451.2,1215444.03,usft,NAD83(2011),NAD83(2011),auto,N/A
4019,4602,794196.57,1224664.33,usft,NAD83(2011),NAD83(2011),auto,N/A
4020,4602,794196.57,1224664.33,usft,NAD83(2011),NAD83(2011),auto,N/A
4021,4602,769724.17,1220399.75,usft,NAD83(2011),NAD83(2011),auto,N/A
4022,4602,775240.58,1195982.47,usft,NAD83(2011),NAD83(2011),auto,N/A
4023,4602,766932.31,1198025.3100000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4024,4602,861871.41,1191664.37,usft,NAD83(2011),NAD83(2011),auto,N/A
4025,4602,821741.34,1186243.45,usft,NAD83(2011),NAD83(2011),auto,N/A
4026,4602,496978.9469999999,1654572.4309999999,usft,NAD83(2011),NAD83(2011),auto,N/A
4027,4602,821698.02,1186199.3100000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4028,4602,820399.61,1190999.01,usft,NAD83(2011),NAD83(2011),auto,N/A
4029,4602,863397.07,1193764.4299999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4030,4602,864499.85,1186128.92,usft,NAD83(2011),NAD83(2011),auto,N/A
4031,4602,866315.21,1186117.42,usft,NAD83(2011),NAD83(2011),auto,N/A
4032,4602,876909.4399999998,1186291.96,usft,NAD83(2011),NAD83(2011),auto,N/A
4033,4602,866779.91,1189909.65,usft,NAD83(2011),NAD83(2011),auto,N/A
4034,4602,781621.69,1199148.66,usft,NAD83(2011),NAD83(2011),auto,N/A
4035,4602,741347.13,1237505.71,usft,NAD83(2011),NAD83(2011),auto,N/A
4036,4602,448414.25,1647378.7,usft,NAD83(2011),NAD83(2011),auto,N/A
4037,4602,761352.82,1188576.5700000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4038,4602,761018.51,1188579.4399999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4039,4602,808709.62,1260796.89,usft,NAD83(2011),NAD83(2011),auto,N/A
4040,4602,804188.13,1284279.02,usft,NAD83(2011),NAD83(2011),auto,N/A
4041,4602,755629.7,1197072.83,usft,NAD83(2011),NAD83(2011),auto,N/A
4042,4602,854174.24,1224723.5600000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4043,4602,844670.6899999998,1212919.9299999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4044,4602,823914.67,1227719.7,usft,NAD83(2011),NAD83(2011),auto,N/A
4045,4602,839887.49,1223928.8,usft,NAD83(2011),NAD83(2011),auto,N/A
4046,4602,390691.03,1687186.64,usft,NAD83(2011),NAD83(2011),auto,N/A
4047,4602,821504.54,1226637.3200000005,usft,NAD83(2011),NAD83(2011),auto,N/A
4048,4602,823234.03,1226999.24,usft,NAD83(2011),NAD83(2011),auto,N/A
4049,4602,832423.87,1224805.41,usft,NAD83(2011),NAD83(2011),auto,N/A
4050,4602,823669.88,1224327.4399999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4051,4602,720480.91,1204776.9299999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4052,4602,725085.31,1206693.01,usft,NAD83(2011),NAD83(2011),auto,N/A
4053,4602,889478.96,1226129.97,usft,NAD83(2011),NAD83(2011),auto,N/A
4054,4602,882908.89,1225045.22,usft,NAD83(2011),NAD83(2011),auto,N/A
4055,4602,894949.22,1224589.58,usft,NAD83(2011),NAD83(2011),auto,N/A
4056,4602,821325.33,1108854.74,usft,NAD83(2011),NAD83(2011),auto,N/A
4057,4602,411174.39,2476377.84,usft,NAD83(2011),NAD83(2011),auto,N/A
4058,4602,826067.81,1114093.6799999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4059,4602,822422.48,1104333.65,usft,NAD83(2011),NAD83(2011),auto,N/A
4060,4602,835962.95,1115255.17,usft,NAD83(2011),NAD83(2011),auto,N/A
4061,4602,852488.4399999998,1107887.36,usft,NAD83(2011),NAD83(2011),auto,N/A
4062,4602,809824.4,1105392.9299999995,usft,NAD83(2011),NAD83(2011),auto,N/A
4063,4602,891403.1899999998,1110548.0,usft,NAD83(2011),NAD83(2011),auto,N/A
4064,4602,702250.0,1466221.66,usft,NAD83(2011),NAD83(2011),auto,N/A
4065,4602,735770.93,1426293.96,usft,NAD83(2011),NAD83(2011),auto,N/A
4066,4602,622856.92,1607390.88,usft,NAD83(2011),NAD83(2011),auto,N/A
4067,4602,473252.11,1111409.54,usft,NAD83(2011),NAD83(2011),auto,N/A
4068,4602,323381.7,1979925.49,usft,NAD83(2011),NAD83(2011),auto,N/A
4069,4602,512425.51,1019426.53,usft,NAD83(2011),NAD83(2011),auto,N/A
4070,4602,407676.41,1081504.1,usft,NAD83(2011),NAD83(2011),auto,N/A
