,CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
0,2013000001,E218403,290,3.29,290,47.6718259956,-117.3443155215,1,3,4,2.0,1,1,U,1,1,2,A,,Y,A,U,A,E,32.0,53.0,1220.0,290,40.0,3.29,3.37,5,8,0,4,8,11,44,21126.0,0.62,5.0,-,0.05
1,2013000003,E218519,003,52.82,3,47.7597660529,-122.655264141,1,2,3,8.0,2,1,U,3,4,1,A,S,,A,U,A,W,18.0,52.0,1010.0,003,60.0,52.81,52.89,0,15,38,3,11,12,36,30916.0,0.9,0.0,+,0.5
2,2013000005,E218367,005,192.42,5,47.960144611400004,-122.1993145543,1,2,3,1.0,1,1,U,2,7,2,A,S,,P,U,P,W,31.0,51.0,420.0,005,60.0,192.41,192.43,35,6,100,8,10,12,96,185099.0,1.35,0.0,-,0.44
3,2013000008,E219313,005,124.06,5,47.13112790899999,-122.53572862819999,1,3,4,2.0,6,3,U,1,1,2,,A,Y,A,U,A,W,27.0,51.0,665.0,005,60.0,124.0,124.27,25,0,12,8,10,12,96,143406.0,14.13,0.0,+,0.11
4,2013000009,E219663,900,2.34,900,47.4830533271,-122.24901362989999,1,9,3,2.0,1,2,U,1,1,2,,P,,A,U,P,W,17.0,53.0,,900,50.0,2.25,2.34,0,0,8,4,8,10,40,27547.0,0.9,0.0,+,6.62
5,2013000010,E219711,090,129.48,90,46.944866738500004,-120.09572965219999,1,3,4,1.0,6,1,R,1,1,1,A,S,,A,R,A,E,19.0,41.0,,090,70.0,129.41,129.71,12,4,80,4,10,12,48,13905.0,1.52,0.0,-,2.76
6,2013000011,E219712,090,51.04,90,47.4222636387,-121.4099130306,1,8,2,3.0,1,4,R,1,1,3,,P,,P,R,P,,19.0,41.0,,090,70.0,50.96,51.06,10,0,22,7,22,12,84,27583.0,1.01,3.0,-,1.5
7,2013000013,E219365,005,198.38,5,48.040793178,-122.17923290459998,1,8,2,2.0,1,3,U,1,1,3,,S,,A,U,A,W,31.0,51.0,,005,60.0,198.37,198.52,35,0,22,6,10,12,72,123793.0,6.78,0.99,-,1.71
8,2013000014,E219386,096,0.12,96,47.8819465827,-122.2319167424,1,2,3,1.0,4,1,U,1,1,2,C,,Y,C,U,A,W,31.0,53.0,,096,,0.12,0.13,0,0,0,4,0,20,81,42223.0,0.15,0.0,-,0.32
9,2013000016,E217996,005,168.54,5,47.6484603804,-122.3224526291,1,1,2,1.0,4,1,U,1,1,2,C,O,Y,C,U,P,W,17.0,51.0,1140.0,005,60.0,168.4,168.62,30,0,10,8,0,15,116,187213.0,15.03,0.0,+,2.28
10,2013000017,E217999,005,171.86,5,47.694760608,-122.32905071100001,1,2,3,1.0,4,1,U,1,1,2,,A,Y,A,U,P,W,17.0,51.0,1140.0,005,60.0,171.82,171.95000000000005,30,0,20,6,10,12,72,173308.0,8.22,0.0,+,1.65
