CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
2017000001,E627527,005,64.13,5,46.4847547746,-122.87995929450001,1,1,7,2.0,6.0,01,R,1,1,2,A,S,Y,A,R,A,W,21.0,41.0,,005,70.0,64.01,64.78,10,3,40,4,10,12,48,46817.0,13.16,0.0,+,3.0
2017000002,E628124,090,70.58,90,47.2283099906,-121.163097336,1,2,1,4.0,2.0,08,R,2,7,3,A,S,,A,R,P,E,19.0,41.0,,090,70.0,70.53,70.94,12,4,78,4,10,12,48,34129.0,5.11,0.0,-,0.15
2017000003,E630351,195,35.95,195,46.8799181141,-117.3648203016,1,9,1,4.0,1.0,02,R,1,1,2,C,,Y,C,R,A,E,38.0,43.0,230.0,195,60.0,35.95,36.03,10,0,0,4,0,14,56,9874.0,0.29,0.0,-,0.49
2017000004,E633194,270,3.13,270,46.7269024427,-117.1685355468,1,9,1,3.0,1.0,04,U,1,1,2,C,,,C,U,A,E,38.0,53.0,1025.0,270,,3.03,3.13,0,0,0,4,0,13,53,11377.0,0.42,0.0,+,3.86
2017000005,E632431,014,139.99,14,45.7877571562,-120.0990292225,1,14,6,3.0,6.0,02,R,2,5,3,B,,,B,R,B,E,20.0,44.0,,014,60.0,135.56,140.69,20,7,0,2,7,12,24,1330.0,2.49,0.0,+,0.0
2017000006,E632704,014,124.98999999999998,14,45.7103149446,-120.3794289093,1,10,2,3.0,2.0,04,R,1,1,1,A,,N,A,R,B,E,20.0,44.0,,014,60.0,121.04,128.06,20,7,0,2,7,11,22,1229.0,3.15,0.0,+,1.57
2017000007,E631098,097,2.58,97,45.6963023471,-120.8241735074,1,10,2,3.0,1.0,04,R,1,1,2,A,,Y,A,R,A,E,20.0,43.0,,097,55.0,2.55,2.59,5,10,0,2,4,12,24,4697.0,0.07000000000000002,21.95,+,6.71
2017000008,E635168,014,63.27,14,45.7290832291,-121.5240056133,1,10,2,3.0,1.0,04,R,1,1,2,A,,Y,A,R,B,W,30.0,43.0,,014,60.0,63.23,63.36,12,4,0,2,4,12,24,3906.0,0.19,2.0,-,0.96
2017000009,E632353,101,77.63,101,46.9302045838,-123.72227592850001,1,9,1,4.0,2.0,02,R,1,1,2,A,,,A,R,A,W,14.0,43.0,,101,30.0,77.59000000000002,77.98000000000002,5,4,0,2,4,12,24,3032.0,0.43,11.46,+,6.14
2017000010,E634894,020SPANACRT,0.11,20,48.4644372087,-122.5836388009,1,20,5,1.0,1.0,02,U,1,1,2,,A,,A,U,A,W,29.0,52.0,30.0,020SPANACRT,,0.08,0.24,50,0,9,4,10,12,48,25806.0,1.51,0.0,+,0.95
2017000011,E634839,531,7.62,531,48.152120079,-122.1615758244,1,21,6,2.0,6.0,01,U,1,1,2,A,,,A,U,A,W,31.0,54.0,45.0,531,,7.51,7.62,0,5,0,2,5,12,24,23872.0,0.96,0.0,+,1.0
2017000012,E635454,018,3.2,18,47.303024675900005,-122.2569455866,1,24,2,1.0,4.0,01,U,1,1,3,,A,,A,U,A,W,17.0,52.0,55.0,018,60.0,3.07,3.21,5,0,6,5,10,12,60,104776.0,5.35,0.0,-,1.3
2017000013,E630266,305,3.65,305,47.6720752872,-122.532043821,1,5,4,1.0,6.0,01,U,1,1,1,A,,N,A,U,A,W,18.0,52.0,58.0,305,,3.38,3.65,0,8,0,2,8,12,24,20392.0,2.01,0.0,+,1.16
2017000014,E628910,405,11.69,405,47.588161990299994,-122.17996822020001,1,3,2,1.0,1.0,01,U,1,1,2,,P,Y,P,U,P,W,17.0,51.0,75.0,405,60.0,11.66,11.7,20,0,22,8,10,12,96,216865.0,3.17,2.01,-,1.89
2017000015,E634884,542,0.93,542,48.7767223248,-122.4452475481,1,23,1,1.0,1.0,01,U,1,1,2,C,,,C,U,A,W,37.0,54.0,80.0,542,,0.89,0.93,0,0,0,4,0,15,60,25236.0,0.37,0.0,+,2.23
