CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
2016000002,E504624,169,20.22,169,47.462421283299996,-122.09825410879999,1,6,3,4.0,1.0,01,U,3,4,2,A,,,A,U,A,W,17.0,53.0,,169,,19.77,20.32,0,8,0,4,8,11,44,23558.0,4.73,0.0,-,0.0
2016000003,E504479,009,31.41,9,48.2246722318,-122.1433741714,1,9,6,1.0,3.0,01,R,3,4,2,A,,Y,A,R,A,W,31.0,45.0,,009,,31.41,31.53,0,4,0,2,4,12,24,5363.0,0.23000000000000004,0.0,-,0.0
2016000004,E505034,125,1.6200000000000003,125,46.0238582542,-118.38886703120001,1,10,7,1.0,1.0,02,R,1,1,2,,A,Y,A,R,A,E,36.0,42.0,,125,,1.6200000000000003,1.6299999999999997,0,0,16,4,10,12,48,15763.0,0.06,0.0,-,0.0
2016000005,E506251,101,83.43,101,46.976021707700006,-123.8143821085,1,16,6,2.0,1.0,02,U,3,4,2,C,,Y,C,U,A,W,14.0,53.0,5.0,101,30.0,83.43,83.44,8,0,0,3,0,18,54,5424.0,0.02,0.0,-,0.0
2016000006,E502343,304,2.74,304,47.5650203184,-122.6304287048,1,5,2,2.0,4.0,02,U,3,4,2,C,,Y,C,U,A,W,18.0,53.0,115.0,304,,2.62,2.74,10,0,0,4,0,11,44,10069.0,0.44,0.0,-,0.0
2016000007,E507699,005,138.61,5,47.2442039214,-122.33531277760001,1,8,5,2.0,4.0,05,U,3,2,2,,A,,A,U,A,W,27.0,51.0,,005,60.0,138.56,138.8,25,0,24,8,10,12,96,192937.0,16.9,2.75,+,45.0
2016000008,3530380,005,246.68,5,48.6898968528,-122.4069145332,1,7,4,4.0,6.0,01,R,1,1,2,A,S,,A,R,P,W,37.0,41.0,,005,70.0,246.5,246.69,45,6,40,4,10,12,48,46416.0,3.22,2.0,+,300.0
2016000009,E501621,090,235.51,90,47.2515685366,-118.1005438892,1,2,6,1.0,6.0,01,R,1,1,1,A,S,,A,R,A,E,1.0,41.0,,090,70.0,235.28,235.91,30,4,400,4,10,12,48,19147.0,4.4,0.72,-,0.0
2016000010,E500758,097AR,19.47,97,47.728025598100004,-120.2269957458,1,1,5,1.0,6.0,01,R,1,1,1,A,,,A,R,B,E,4.0,44.0,,097AR,,18.9,19.829999999999995,50,7,0,2,7,12,24,5832.0,1.98,0.0,-,0.0
2016000011,E503874,002,64.84000000000002,2,47.7471073733,-121.0871246411,1,1,5,2.0,1.0,01,R,1,1,2,,A,,A,R,A,,4.0,43.0,,002,60.0,64.78,64.90999999999998,10,0,4,4,20,12,48,5630.0,0.27,4.04,-,0.0
2016000012,E504038,101,257.36,101,48.0896228716,-123.2387895218,1,1,5,2.0,4.0,01,R,2,7,2,A,S,Y,A,R,A,W,5.0,43.0,,101,55.0,257.36,257.37,23,4,44,4,8,12,48,19213.0,0.07000000000000002,0.0,-,0.0
2016000013,E500963,101,246.48,101,48.10731812109999,-123.4421476548,1,2,6,1.0,1.0,02,U,1,1,2,C,,Y,C,U,A,W,5.0,53.0,990.0,101,25.0,246.48,246.56,21,0,0,2,0,25,50,6654.0,0.19,11.99,-,0.0
2016000016,E503505,005,19.0,5,45.8800998485,-122.7211191354,1,2,6,1.0,6.0,01,R,1,1,2,A,S,,A,R,A,W,6.0,41.0,,005,70.0,18.7,19.460000000000004,0,6,48,6,10,12,72,76837.0,21.31,0.0,-,0.0
2016000017,E501486,005,21.96,5,45.9172595358,-122.7496751847,1,1,5,1.0,1.0,01,U,2,7,3,A,S,,A,U,A,W,8.0,51.0,1470.0,005,70.0,21.89,21.99,5,6,40,6,10,12,72,59214.0,2.16,0.0,+,1.0
2016000019,E504707,005,40.77000000000001,5,46.156907462,-122.90238526659999,1,1,5,4.0,1.0,01,U,1,1,2,W,O,,W,U,P,W,8.0,51.0,605.0,005,70.0,40.77000000000001,40.78,7,0,70,6,0,17,104,52152.0,0.19,0.0,-,0.0
2016000020,3261165,504,10.54,504,46.324524674799996,-122.7322918926,1,1,5,1.0,4.0,01,R,1,1,2,A,,Y,A,R,A,W,8.0,44.0,,504,,10.54,10.69,0,4,0,2,8,12,24,1228.0,0.07000000000000002,14.32,-,0.0
2016000022,E502758,127,0.5,127,46.5224633177,-117.81229242,1,1,5,1.0,1.0,01,R,1,1,2,B,,,B,R,B,E,12.0,43.0,,127,,0.04,1.64,0,6,0,2,6,12,24,845.0,0.49,6.5,+,600.0
2016000023,E503311,090,171.08,90,47.103905127,-119.3831955834,1,1,5,1.0,2.0,01,R,1,1,2,A,S,,A,R,A,E,13.0,41.0,,090,70.0,169.27,172.01,20,4,40,4,10,12,48,15379.0,15.38,0.0,-,0.0
2016000024,E507131,283,10.65,283,47.2078681224,-119.66435790370001,1,1,5,1.0,6.0,02,R,1,1,1,B,,N,B,R,B,E,13.0,44.0,,283,,10.64,11.96,0,7,0,2,7,12,24,2233.0,1.08,0.0,+,40.0
2016000025,E504291,012,37.7,12,46.828369424499996,-123.1779730674,1,1,5,1.0,1.0,01,R,2,7,1,A,,N,A,R,A,W,14.0,43.0,,012,60.0,37.52000000000001,37.75,0,4,0,2,4,12,24,6994.0,0.5899999999999999,1.0,+,4.0
2016000026,E501547,012,0.23000000000000004,12,46.976250721099994,-123.8087966652,1,2,6,1.0,1.0,01,U,2,7,1,C,,Y,C,U,A,W,14.0,53.0,5.0,012,20.0,0.23000000000000004,0.3,0,0,0,2,0,13,26,12558.0,0.32,31.82999999999999,+,10.0
2016000027,E501118,525,11.35,525,47.9921996384,-122.3974893812,1,2,6,1.0,6.0,01,R,1,1,2,A,,,A,R,A,W,15.0,43.0,,525,60.0,11.32,11.75,10,7,0,2,7,11,22,9459.0,1.48,0.0,-,0.0
2016000028,E503333,020,8.01,20,48.07468594149999,-122.8184353266,1,2,6,1.0,1.0,01,R,1,1,2,A,,,A,R,A,W,16.0,43.0,,020,55.0,7.93,8.26,3,5,0,2,5,12,24,18214.0,2.19,0.0,+,240.0
2016000030,E500738,090,49.72,90,47.424039268,-121.43146719559999,1,1,5,1.0,6.0,01,R,1,1,1,P,O,,P,R,P,,17.0,41.0,,090,70.0,49.7,50.05,5,10,999,7,10,12,84,34775.0,4.44,4.77,+,376.0
2016000031,E500600,099,16.47,99,47.459641356300004,-122.2917967625,1,1,5,1.0,4.0,01,U,1,1,2,,S,Y,C,U,A,W,17.0,53.0,1139.0,099,60.0,16.120000000000005,16.47,0,0,12,5,0,12,62,27113.0,3.46,0.0,-,0.0
2016000032,E500601,099,15.45,99,47.4452583171,-122.2961620589,1,1,5,1.0,1.0,01,U,2,7,3,,S,,C,U,A,W,17.0,53.0,1139.0,099,60.0,15.44,15.45,0,0,12,4,0,13,50,29153.0,0.11,0.0,-,0.0
2016000033,E501242,099,13.87,99,47.4226644395,-122.2963990408,1,2,6,1.0,1.0,01,U,1,1,2,,S,,C,U,A,W,17.0,53.0,1139.0,099,60.0,13.81,13.87,0,0,5,4,0,14,56,30139.0,0.66,0.0,+,206.0
2016000035,E505337,005,164.54,5,47.59358011729999,-122.32062105950001,1,1,5,1.0,1.0,01,U,2,7,2,,P,,P,U,P,W,17.0,51.0,1140.0,005,60.0,164.43,164.56,30,0,30,5,8,11,55,245320.0,11.64,0.0,-,0.0
2016000036,E504253,005,164.01,5,47.5859870566,-122.3200678016,1,2,6,2.0,1.0,03,U,2,7,3,W,O,Y,W,U,P,W,17.0,51.0,1140.0,005,60.0,163.94,164.02,30,0,30,6,0,14,84,245320.0,7.16,0.0,+,369.0
2016000037,E500889,513,0.1,513,47.6455615504,-122.3045433574,1,2,6,1.0,1.0,01,U,1,1,1,,S,,C,U,A,W,17.0,53.0,1140.0,513,,0.08,0.1,0,0,25,4,0,11,44,42141.0,0.31,0.0,,0.0
2016000038,E503058,005,163.06,5,47.5725246825,-122.31984405600001,1,1,5,2.0,1.0,02,U,2,7,2,P,O,,P,U,P,W,17.0,51.0,1140.0,005,60.0,163.02,163.1,30,2,30,6,9,11,66,188461.0,5.5,0.0,+,350.0
2016000039,E503060,523,1.5,523,47.7339710405,-122.3127810834,1,1,5,1.0,4.0,01,U,2,6,2,C,,Y,C,U,A,W,17.0,53.0,1140.0,523,,1.5,1.55,10,0,0,4,0,14,54,27822.0,0.51,0.0,,0.0
2016000040,E502489,005,165.85,5,47.61056718,-122.3313707254,1,1,5,1.0,2.0,01,U,1,1,2,C,O,,C,U,P,W,17.0,51.0,1140.0,005,60.0,165.77,165.89,30,0,22,7,0,14,100,182996.0,8.019999999999998,3.17,-,0.0
