CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
2015013287,E417233,028,34.34000000000001,28,48.0863117393,-122.5687115517,4,6,1,1.0,1.0,01,U,1,1,2,C,,,C,U,A,E,13.0,54.0,1040.0,028,40.0,34.3,34.34000000000001,5,0,0,3,0,24,72,13226.0,0.19,0.0,-,0.12
2015013288,E417202,017,43.91,17,47.393745297200006,-122.2948959218,4,16,4,1.0,1.0,01,U,2,7,2,,A,Y,A,U,A,E,13.0,52.0,805.0,017,,43.91,43.93,0,0,16,4,10,12,48,15374.0,0.11,0.0,-,0.5899999999999999
2015013289,E417284,532,0.0,532,47.404997170200005,-122.3247208131,4,5,7,1.0,1.0,01,R,1,1,2,A,,Y,A,R,A,W,15.0,44.0,,532,,0.0,0.02,0,8,0,2,8,11,22,,,0.0,-,0.39
201501329,E392361,164,13.62,164,47.777736625799996,-122.3353041558,1,13,2,1.0,1.0,01,U,2,7,2,C,,Y,C,U,A,W,17.0,53.0,410.0,164,,13.62,13.69,0,0,0,2,0,16,31,9550.0,0.24,0.0,-,0.87
2015013290,E417285,525,24.4,525,47.316519712399995,-122.2966324385,4,17,5,1.0,6.0,01,R,1,1,1,A,,N,A,R,A,W,15.0,43.0,,525,60.0,24.29,24.46,10,6,0,2,6,12,24,6972.0,0.43,0.0,-,5.23
2015013291,E417301,516,1.78,516,47.3411329561,-122.293077945,4,19,7,1.0,4.0,01,U,2,7,2,C,,,C,U,A,W,17.0,53.0,615.0,516,,1.75,1.79,0,0,0,4,0,19,76,14947.0,0.22,0.0,+,3.87
2015013292,E417463,509,23.92,509,47.3150834541,-122.31330340129999,4,19,7,1.0,4.0,01,U,1,1,2,C,,,C,U,A,W,17.0,53.0,325.0,509,50.0,23.91,23.94,7,0,0,2,0,12,24,20360.0,0.22,0.0,+,2.02
2015013293,E417310,104,28.3,104,47.2826037126,-122.3130988533,4,17,5,1.0,1.0,01,U,1,1,2,C,,Y,C,U,A,W,17.0,53.0,,104,60.0,28.3,28.309999999999995,10,0,0,4,0,15,60,44385.0,0.16,0.0,-,0.95
2015013294,E417022,005,143.99,5,47.311668541,-122.3133008105,4,13,1,2.0,6.0,03,U,1,1,2,,P,,A,U,P,W,17.0,51.0,443.0,005,60.0,143.89,144.09,30,0,22,8,10,12,96,160500.0,11.72,0.0,+,1.1
2015013295,E417247,005,145.71000000000004,5,47.418493782700004,-122.19703897459999,4,17,5,1.0,1.0,01,U,1,1,2,P,S,,A,U,P,W,17.0,51.0,443.0,005,60.0,145.65,145.85,30,9,84,8,10,12,94,191501.0,13.98,0.0,-,1.5
