,CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
7656,201408381,E313540,405,13.73,405,47.279990436000006,-122.3104681749,3,5,3,2.0,1.0,03,U,1,1,2,,P,,A,U,P,W,17.0,51.0,75.0,405,60.0,13.54,13.74,23,0,10,6,10,12,72,147954.0,10.8,0.0,+,2.79
7657,201408382,E313366,090,7.78,90,47.30770625939999,-122.30025575319999,3,5,3,2.0,4.0,03,U,1,1,2,A,A,Y,A,U,A,W,17.0,51.0,75.0,090,60.0,7.78,7.810000000000001,0,18,50,5,14,12,60,96719.0,1.0600000000000005,0.0,+,3.9
7658,201408383,E313367,520,7.33,520,47.2691432445,-122.3323811497,3,6,4,1.0,1.0,02,U,1,1,2,A,S,,A,U,A,W,17.0,52.0,75.0,520,60.0,7.310000000000001,7.34,0,10,32,5,10,12,60,73124.0,0.8,1.45,+,4.3
7659,201408384,E313361,405,13.84,405,47.323722142200005,-122.35478406719999,3,7,5,1.0,1.0,02,U,1,1,2,,P,,A,U,P,W,17.0,51.0,75.0,405,60.0,13.83,13.84,23,0,10,6,10,12,72,147954.0,0.54,0.0,+,2.91
7660,201408385,E313363,405,9.32,405,47.3123187568,-122.29837632639999,3,5,3,2.0,4.0,03,U,1,1,2,A,S,,A,U,A,W,17.0,51.0,75.0,405,60.0,9.24,9.43,0,4,32,4,8,12,48,148934.0,10.33,0.0,-,0.64
7661,201408386,E313364,405,13.38,405,47.299947651000004,-122.303393881,3,5,3,2.0,3.0,03,U,2,7,3,,P,Y,A,U,P,W,17.0,51.0,75.0,405,60.0,13.34,13.41,23,0,10,6,10,12,69,201461.0,5.15,1.55,+,2.79
7662,201408387,E315187,161,34.77000000000001,161,47.3010489722,-122.3025260652,2,28,5,1.0,1.0,01,U,1,1,2,,P,,A,U,A,W,17.0,53.0,,161,,34.59000000000001,34.78,10,0,12,4,8,11,44,20209.0,1.4,0.0,-,1.0
7663,201408388,E313807,005,142.4,5,47.2935480801,-122.3050336731,3,5,3,2.0,4.0,03,U,2,7,2,A,S,,A,U,P,W,17.0,51.0,443.0,005,60.0,142.33,142.4,30,10,84,8,10,12,96,131755.0,3.37,0.0,-,0.6
7664,201408389,E313299,099,7.04,99,47.2714283837,-122.31558782540002,3,5,3,1.0,1.0,02,U,1,1,2,A,,Y,A,U,A,W,17.0,53.0,443.0,099,60.0,7.04,7.09,0,10,0,4,10,14,56,28309.0,0.52,1.0,+,1.0
7665,201408390,E312105,005,141.36,5,47.295116631899994,-122.2905665972,3,5,3,7.0,4.0,03,U,1,1,2,A,S,Y,A,U,P,W,17.0,51.0,443.0,005,60.0,141.25,141.36,30,10,84,8,10,12,96,185881.0,7.46,0.75,+,1.65
7666,201408391,3270672,005,143.36,5,47.775755670200006,-122.19092465940001,3,6,4,2.0,6.0,02,U,2,7,2,A,S,Y,A,U,P,W,17.0,51.0,443.0,005,60.0,143.27,143.46,30,10,84,8,10,12,96,172850.0,11.99,0.5,+,1.8
7667,201408392,2843257,099,2.91,99,47.7416565485,-122.1886177544,3,5,3,2.0,1.0,02,U,2,6,2,A,,Y,A,U,A,W,17.0,53.0,443.0,099,60.0,2.81,2.95,0,8,0,4,8,12,46,20532.0,1.05,0.0,+,0.15
7668,201408393,E312944,509,14.79,509,47.27474705149999,-122.25869099049999,3,5,3,2.0,4.0,03,U,2,7,2,C,,,A,U,A,W,17.0,54.0,443.0,509,50.0,14.74,14.79,5,0,0,2,7,15,30,11348.0,0.21,0.0,+,1.39
7669,201408394,E312856,005,143.69,5,47.3365599945,-122.2446162568,3,7,5,1.0,4.0,01,U,2,5,3,A,S,Y,A,U,P,W,17.0,51.0,443.0,005,60.0,143.64,143.73,30,10,84,8,10,12,96,172850.0,5.68,0.0,-,1.8
7670,201408395,E312367,005,142.81,5,47.301584077799994,-122.2529432966,3,6,4,2.0,6.0,02,U,1,1,2,A,S,,A,U,P,W,17.0,51.0,443.0,005,60.0,142.55,142.82,30,10,84,8,10,12,96,131755.0,12.98,0.0,+,1.4
7671,201408396,E312368,005,142.89,5,47.7090465975,-121.98419441040001,3,6,4,2.0,6.0,02,U,1,1,2,A,S,,B,U,P,W,17.0,51.0,443.0,005,60.0,142.88,143.08,30,10,84,8,10,12,96,172850.0,12.620000000000005,0.0,+,1.4
7672,201408397,E312364,005,142.28,5,47.4253105343,-122.6239436234,3,5,3,2.0,4.0,03,U,2,6,2,A,S,,A,U,P,W,17.0,51.0,443.0,005,60.0,142.27,142.33,30,10,84,8,10,12,96,131755.0,2.89,0.0,-,0.6
