CASENO,SEATPOS,VEHNO
2013000002,7,2
2013000011,9,1
2013000011,3,3
2013000011,9,3
2013000038,6,1
2013000038,10,2
2013000040,6,2
2013000043,3,2
2013000043,9,3
2013000050,4,2
2013000050,6,2
2013000050,7,2
2013000050,9,2
2013000053,9,3
2013000057,3,2
2013000057,3,3
2013000066,3,2
2013000066,7,2
2013000066,9,2
2013000068,6,1
2013000084,4,2
2013000084,6,2
2013000086,1,2
2013000095,10,1
2013000095,3,2
2013000110,3,2
2013000110,6,2
2013000113,10,1
2013000113,3,2
2013000119,10,1
2013000123,5,1
2013000125,3,3
2013000125,7,3
2013000125,9,3
2013000148,3,2
2013000149,11,2
2013000155,10,2
2013000159,4,2
2013000159,6,2
2013000163,3,1
2013000163,4,1
2013000163,5,1
2013000206,9,1
2013000206,9,2
2013000207,10,3
2013000214,3,2
2013000227,10,1
2013000231,4,1
2013000231,6,1
2013000231,10,2
2013000232,6,3
2013000238,3,2
2013000244,5,1
2013000244,3,2
2013000260,3,2
2013000269,11,1
2013000269,3,3
2013000311,4,1
2013000311,8,1
2013000312,10,2
2013000316,3,1
2013000321,6,2
2013000336,10,1
2013000341,3,2
2013000364,10,3
2013000381,11,2
2013000385,6,2
2013000395,5,1
2013000395,6,1
2013000413,7,2
2013000415,3,2
2013000435,4,2
2013000440,10,2
2013000457,10,1
2013000459,8,1
2013000459,10,2
2013000492,3,2
2013000492,4,2
2013000492,6,2
2013000494,10,1
2013000503,3,2
2013000514,2,2
2013000518,6,2
2013000526,4,2
2013000535,3,2
2013000536,6,2
2013000538,4,3
2013000538,9,3
2013000554,5,1
2013000556,3,3
2013000563,7,2
2013000578,3,2
2013000580,6,2
2013000580,7,2
2013000580,9,2
2013000590,5,1
2013000597,3,2
2013000597,4,2
2013000597,6,2
2013000615,3,2
2013000619,3,2
2013000619,9,2
2013000619,3,3
2013000621,4,1
2013000621,5,1
2013000621,6,1
2013000623,7,1
2013000639,7,2
2013000639,8,2
2013000639,9,2
2013000641,3,3
2013000663,3,2
2013000663,6,2
2013000669,6,1
2013000669,3,3
2013000675,3,2
2013000681,3,2
2013000688,3,2
2013000697,3,3
2013000697,4,3
2013000723,9,2
2013000728,9,2
2013000731,3,3
2013000731,4,3
2013000731,6,3
2013000731,9,3
2013000734,3,2
2013000737,6,1
2013000751,11,2
2013000760,7,3
2013000760,9,3
2013000765,4,2
2013000765,6,2
2013000784,10,2
2013000788,6,1
2013000788,3,2
2013000788,4,2
2013000788,6,2
2013000790,3,2
2013000790,9,2
2013000791,7,1
2013000791,3,2
2013000806,3,2
2013000806,4,2
2013000806,6,2
2013000817,7,2
2013000817,9,2
2013000819,8,2
2013000824,4,2
2013000825,6,2
2013000825,11,2
2013000827,4,2
2013000827,6,2
2013000840,9,1
2013000840,9,2
2013000841,4,2
2013000841,5,2
2013000851,3,2
2013000858,3,2
2013000858,8,2
2013000868,3,2
2013000882,6,2
2013000910,4,2
2013000910,6,2
2013000922,5,1
2013000922,8,2
2013000922,9,2
2013000930,9,2
2013000939,3,3
2013000939,11,3
2013000952,6,2
2013000953,4,1
2013000953,4,3
2013000962,4,1
2013000962,5,1
2013000962,6,1
2013000962,3,2
2013000970,2,2
2013000970,3,2
2013000970,4,2
2013000970,5,2
2013000970,6,2
2013000981,4,2
2013000988,3,2
2013000988,6,2
2013001005,11,2
2013001007,3,2
2013001017,9,1
2013001017,11,1
2013001023,6,1
2013001027,3,2
2013001037,3,2
2013001037,6,2
2013001043,9,2
2013001044,4,3
2013001044,6,3
2013001044,7,3
2013001051,6,2
2013001058,3,2
2013001089,4,2
2013001094,4,2
2013001094,5,2
2013001094,6,2
2013001094,8,2
2013001097,4,2
2013001097,6,2
2013001099,7,1
2013001104,3,2
2013001104,5,2
2013001107,3,2
2013001107,4,2
2013001108,3,2
2013001110,7,2
2013001110,9,2
2013001111,9,1
2013001125,4,2
2013001125,6,2
2013001143,3,2
2013001143,7,2
2013001143,8,2
2013001189,3,1
2013001189,3,2
2013001189,4,2
2013001200,3,3
2013001211,9,1
2013001211,3,2
2013001212,3,2
2013001232,4,3
2013001232,6,3
2013001239,3,2
2013001245,4,1
2013001255,8,1
2013001255,9,1
2013001263,8,1
2013001264,3,3
2013001264,9,3
2013001277,8,2
2013001290,3,1
2013001290,9,2
2013001306,4,2
2013001306,6,2
2013001307,7,1
2013001320,7,2
2013001320,9,2
2013001333,4,2
2013001333,6,2
2013001334,9,1
2013001343,6,1
2013001343,3,2
2013001343,9,2
2013001346,5,2
2013001351,4,3
2013001363,4,1
2013001364,7,1
2013001366,4,2
2013001382,4,1
2013001382,6,1
2013001382,7,1
2013001382,9,1
2013001382,3,2
2013001396,3,1
2013001396,3,2
2013001399,6,2
2013001412,8,3
2013001412,9,3
2013001425,4,2
2013001425,6,2
2013001425,7,2
2013001430,4,2
2013001451,11,1
2013001458,7,1
2013001472,3,2
2013001489,7,2
2013001489,9,2
2013001503,3,2
2013001537,3,2
2013001537,9,2
2013001548,5,1
2013001567,7,1
2013001569,9,2
2013001573,3,2
2013001575,6,2
2013001582,3,2
2013001602,3,2
2013001603,3,2
2013001603,9,2
2013001642,11,2
2013001654,3,3
2013001654,7,3
2013001659,7,3
2013001659,9,3
2013001667,3,2
2013001675,3,2
2013001675,7,2
2013001675,9,2
2013001679,6,2
2013001680,3,3
2013001680,6,3
2013001697,6,1
2013001697,7,1
2013001697,9,1
2013001697,3,2
2013001700,9,1
2013001700,3,2
2013001705,4,2
2013001705,6,2
2013001706,6,2
2013001722,3,2
2013001723,3,1
2013001728,6,1
2013001730,9,2
2013001738,4,2
2013001752,7,1
2013001752,9,1
2013001752,3,2
2013001784,3,2
2013001784,9,2
2013001794,6,2
2013001795,6,1
2013001795,3,2
2013001813,7,2
2013001813,9,2
2013001821,6,2
2013001857,4,3
2013001857,6,3
2013001857,7,3
2013001859,4,3
2013001864,9,1
2013001866,3,1
2013001871,4,2
2013001880,4,1
2013001886,3,2
2013001886,3,3
2013001892,3,2
2013001892,4,2
2013001906,10,2
2013001927,3,2
2013001950,5,1
2013001950,3,2
2013001950,6,2
2013001952,3,2
2013001952,9,2
2013001954,9,1
2013001954,3,2
2013001955,8,1
2013001955,9,1
2013001964,9,1
2013001964,3,2
2013001964,7,2
2013001964,9,2
2013001964,3,3
2013001981,5,2
2013001987,4,2
2013001991,3,2
2013001991,4,2
2013001991,7,2
2013001991,8,2
2013001991,9,2
2013001992,6,1
2013001992,9,1
2013001997,9,2
2013001999,4,2
2013002002,3,3
2013002007,3,1
2013002007,3,2
2013002007,8,2
2013002007,9,2
2013002010,9,1
2013002015,4,2
2013002015,6,2
2013002025,10,1
2013002025,3,2
2013002025,6,2
2013002038,3,2
2013002061,9,1
2013002064,6,2
2013002079,2,3
2013002080,3,2
2013002080,4,2
2013002080,7,2
2013002080,9,2
2013002089,6,1
2013002091,3,2
2013002091,5,2
2013002091,7,2
2013002091,9,2
2013002092,9,1
2013002094,3,2
2013002099,4,1
2013002099,7,1
2013002099,3,2
2013002099,7,2
2013002109,3,2
2013002109,9,2
2013002115,5,3
2013002120,3,1
2013002120,3,2
2013002120,4,2
2013002142,6,1
2013002162,5,1
2013002162,7,1
2013002162,9,1
2013002162,7,2
2013002162,9,2
2013002179,7,2
2013002179,9,2
2013002201,9,2
2013002228,7,2
2013002228,9,2
2013002239,3,2
2013002239,4,2
2013002239,6,2
2013002241,7,2
2013002322,3,2
2013002322,3,3
2013002331,3,2
2013002337,11,2
2013002352,3,1
2013002352,9,1
2013002352,3,2
2013002352,7,2
2013002361,3,2
2013002367,6,1
2013002373,7,1
2013002373,3,2
2013002373,6,2
2013002381,6,1
2013002436,5,2
2013002449,9,1
2013002458,6,2
2013002487,9,2
2013002499,7,2
2013002508,3,2
2013002510,3,2
2013002524,7,2
2013002528,3,2
2013002528,7,2
2013002528,9,2
2013002531,3,2
2013002531,6,2
2013002555,5,1
2013002555,6,2
2013002586,4,2
2013002586,6,2
2013002591,7,2
2013002594,3,2
2013002594,7,2
2013002594,9,2
2013002597,3,1
2013002613,10,2
2013002620,7,2
2013002620,8,2
2013002620,9,2
2013002622,3,2
2013002623,2,2
2013002646,6,2
2013002650,3,2
2013002659,3,2
2013002659,4,2
2013002659,5,2
2013002677,9,2
2013002684,3,3
2013002698,4,3
2013002698,6,3
2013002703,3,2
2013002706,8,2
2013002709,8,2
2013002756,6,1
2013002760,3,2
2013002762,9,2
2013002772,6,1
2013002777,6,1
2013002782,4,1
2013002782,3,2
2013002782,5,2
2013002786,9,2
2013002794,3,2
2013002794,4,3
2013002794,6,3
2013002801,6,2
2013002801,10,2
2013002807,3,3
2013002809,5,1
2013002809,6,1
2013002809,3,2
2013002809,4,2
2013002809,6,2
2013002812,10,1
2013002821,3,2
2013002834,3,2
2013002835,9,2
2013002844,3,3
2013002846,7,1
2013002848,3,2
2013002858,6,2
2013002863,3,2
2013002864,3,2
2013002867,3,2
2013002869,9,1
2013002869,3,3
2013002870,4,2
2013002870,6,2
2013002877,3,2
2013002879,9,1
2013002882,3,2
2013002882,4,2
2013002882,5,2
2013002896,7,1
2013002897,3,2
2013002926,3,2
2013002926,4,2
2013002931,6,1
2013002944,3,1
2013002944,3,2
2013002954,3,2
2013002960,7,3
2013002960,9,3
2013002973,7,2
2013002973,8,2
2013002973,9,2
2013003000,3,2
2013003015,4,1
2013003015,5,1
2013003069,3,2
2013003069,4,3
2013003069,5,3
2013003087,10,2
2013003095,3,2
2013003117,9,2
2013003122,3,2
2013003134,4,2
2013003134,6,2
2013003140,6,1
2013003145,3,1
2013003145,6,1
2013003148,4,1
2013003164,3,2
2013003164,6,2
2013003197,3,2
2013003197,4,2
2013003197,6,2
2013003203,3,2
2013003203,4,2
2013003203,6,2
2013003203,4,3
2013003213,6,2
2013003220,3,2
2013003222,4,2
2013003222,6,2
2013003224,7,1
2013003224,9,1
2013003224,3,2
2013003224,8,2
2013003235,7,3
2013003235,9,3
2013003240,11,2
2013003242,3,3
2013003254,4,2
2013003254,7,2
2013003254,9,2
2013003257,3,1
2013003257,3,2
2013003267,4,3
2013003267,6,3
2013003267,7,3
2013003282,2,1
2013003282,6,3
2013003283,3,2
2013003283,4,2
2013003283,6,2
2013003285,3,3
2013003291,2,2
2013003295,6,2
2013003296,3,2
2013003296,9,2
2013003320,4,2
