CASENO,DRV_SEX,DRV_AGE,drassess,spdlimit,surf_typ,contrib1,contrib2,intox,stolen,vehcond1,vehcond2,vehcond3,com_body,cdplaccd,vehno
201400033,1.0,58.0,,35.0,2.0,4,0,4.0,,12,0,0,,,1
201400033,2.0,33.0,,35.0,2.0,18,0,4.0,,12,0,0,,,2
201400034,1.0,19.0,,,1.0,23,5,4.0,,12,0,0,,,1
201400034,1.0,51.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400034,,,,,1.0,18,0,9.0,,12,0,0,,,3
201400035,1.0,24.0,,60.0,1.0,5,0,4.0,,12,0,0,,,1
201400035,2.0,40.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400036,1.0,41.0,,60.0,1.0,5,0,4.0,,12,0,0,,,1
201400036,1.0,28.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400038,1.0,81.0,,70.0,1.0,32,5,4.0,,12,0,0,,,1
201400038,1.0,54.0,,60.0,1.0,18,0,4.0,,12,0,0,7.0,,2
201400039,1.0,61.0,,,2.0,23,0,4.0,,12,0,0,,,1
201400039,1.0,31.0,,,,0,0,,,0,0,0,,,2
201400040,1.0,49.0,,60.0,1.0,17,6,4.0,,12,0,0,2.0,F,1
201400040,1.0,56.0,,60.0,1.0,18,0,4.0,,12,0,0,2.0,F,2
201400042,1.0,43.0,,60.0,2.0,4,0,4.0,,12,0,0,3.0,T,1
201400042,,,,,,0,0,,,0,0,0,,,2
201400043,2.0,31.0,,40.0,2.0,7,0,4.0,,12,0,0,,,1
201400043,1.0,33.0,,40.0,2.0,18,0,4.0,,12,0,0,,,2
201400044,2.0,47.0,,35.0,2.0,23,4,9.0,,12,0,0,,,1
201400044,1.0,59.0,,35.0,2.0,18,0,4.0,,12,0,0,,,2
201400045,1.0,68.0,,25.0,2.0,10,23,4.0,,12,0,0,,,1
201400045,1.0,49.0,,,,0,0,,,0,0,0,,,2
201400046,1.0,38.0,,45.0,2.0,18,0,4.0,,12,0,0,,,1
