CASENO,SEATPOS,VEHNO
201500002,9,1
2015000023,3,2
201500006,6,2
201500007,7,3
201500007,9,3
201500008,5,2
201500008,6,2
201500011,2,2
201500011,3,2
201500014,9,2
201500016,9,2
201500016,10,2
201500016,11,2
201500023,3,2
201500024,3,2
201500024,9,2
2015000278,3,2
2015000278,6,2
201500036,3,2
201500036,7,2
201500036,9,2
201500040,4,2
201500040,6,2
201500040,7,2
201500043,3,2
201500043,6,2
201500044,7,1
201500044,9,1
201500044,1,2
201500056,3,2
201500056,4,2
201500056,6,2
201500056,7,2
201500056,9,2
201500060,3,2
201500061,6,1
201500061,3,2
201500066,3,2
201500066,7,2
2015000690,4,1
2015000690,5,1
2015000690,6,1
201500070,3,2
201500071,3,2
201500071,4,2
201500071,6,2
201500073,3,3
201500074,4,2
201500074,6,2
201500082,3,2
201500082,7,2
201500082,9,2
201500089,3,2
201500090,3,2
201500090,7,2
201500090,9,2
201500096,3,2
201500097,9,2
201500098,9,1
201500099,3,2
201500099,7,2
201500099,8,2
201500099,9,2
201500101,3,2
201500104,3,2
201500107,3,1
201500112,4,1
201500112,5,1
201500112,6,1
201500116,3,3
201500117,4,1
201500117,6,1
201500117,7,1
2015001177,6,1
201500125,9,1
201500139,3,2
2015001466,3,3
201500150,3,2
201500150,7,2
201500152,7,1
201500152,9,1
201500154,9,1
201500157,3,2
201500160,3,2
201500169,9,1
201500169,3,2
201500171,7,1
201500177,3,2
201500177,6,2
201500181,7,1
201500182,7,1
201500182,8,1
201500182,9,1
201500183,3,1
201500183,8,2
201500187,3,2
201500188,3,2
201500188,6,2
201500189,3,2
201500190,7,3
201500190,9,3
201500191,3,2
2015001970,3,2
2015002005,3,2
201500202,7,1
201500202,9,1
201500205,3,1
201500205,7,2
201500205,9,2
201500205,3,3
201500207,3,2
201500208,3,2
201500212,3,2
201500213,3,2
201500213,7,2
201500222,3,1
201500228,3,2
201500231,3,1
201500231,9,1
2015002310,11,2
201500232,3,2
201500232,9,2
2015002320,3,2
2015002320,9,2
201500235,3,2
201500239,3,2
201500242,3,2
201500246,3,2
201500246,9,2
201500248,3,2
201500249,3,2
201500251,4,2
201500251,6,2
201500253,3,1
201500260,7,1
201500260,3,2
201500266,3,2
201500269,9,2
201500270,4,1
201500271,3,2
201500276,3,2
201500277,3,2
2015002770,3,2
201500278,3,2
201500278,6,2
2015002907,3,2
2015002919,9,1
2015002923,3,3
201500297,6,1
201500302,9,2
201500302,3,3
201500302,7,3
201500302,9,3
201500305,8,1
201500312,3,2
201500314,9,1
201500314,3,3
201500314,7,3
201500314,9,3
201500320,3,2
201500320,4,2
201500320,6,2
201500323,3,2
201500325,3,1
201500326,7,1
201500329,7,1
201500330,3,2
201500330,8,2
201500331,4,1
201500331,5,1
201500334,9,1
201500334,3,2
2015003357,7,2
201500338,3,2
201500343,3,2
201500343,4,2
201500343,6,2
201500347,9,1
201500354,7,1
201500359,8,1
201500360,7,1
201500360,9,1
201500362,3,1
201500365,4,1
201500365,6,1
201500366,3,2
201500367,9,1
201500368,3,2
2015003763,6,1
201500384,7,1
201500384,9,1
201500387,3,2
201500398,3,2
201500398,7,2
201500398,8,2
201500398,9,2
201500400,3,2
201500403,7,1
201500403,9,1
201500405,7,1
201500406,3,2
201500407,3,2
201500409,3,3
201500414,3,2
201500418,3,2
201500418,4,2
201500418,6,2
201500418,7,2
201500418,9,2
201500418,3,3
201500418,4,3
201500418,9,3
201500420,3,2
201500420,7,2
201500427,4,2
201500433,3,2
201500433,5,2
201500434,3,2
2015004406,3,2
201500443,3,2
201500443,7,2
201500457,3,2
201500457,4,2
201500457,6,2
201500463,10,2
201500466,3,2
201500469,3,2
201500472,9,2
201500484,3,2
201500488,3,2
201500492,6,2
201500493,3,2
201500504,3,2
201500504,9,2
201500510,3,1
201500510,3,2
201500527,3,2
201500527,9,2
201500533,6,2
201500536,3,2
201500542,3,2
2015005437,7,1
2015005437,9,1
201500545,3,2
2015005475,3,2
201500548,3,2
2015005555,9,1
201500564,3,2
201500564,11,2
201500565,3,2
201500565,7,2
201500566,10,2
201500570,3,2
201500570,6,2
201500572,3,2
201500577,3,3
201500579,3,2
201500579,7,2
201500585,3,2
201500591,7,2
