CASENO,SEATPOS,VEHNO
2016000866,7,1
2016000874,10,1
2016000874,3,2
2016000884,3,2
2016000890,3,2
2016000892,10,2
2016000895,3,2
2016000901,1,2
2016000909,3,2
2016000912,3,1
2016000912,9,1
2016000916,3,2
2016000916,6,2
2016000923,3,2
2016000931,9,1
2016000931,3,2
2016000931,6,2
2016000937,7,1
2016000937,9,1
2016000939,3,2
2016000954,3,2
2016000967,3,2
2016000984,4,1
2016000984,3,3
2016000986,3,2
2016000992,3,3
2016000994,3,2
2016000994,9,2
2016001012,3,2
2016001015,3,3
2016001035,3,2
2016001039,5,1
2016001041,3,1
2016001047,3,2
2016001053,7,1
2016001061,3,2
2016001061,7,2
2016001071,6,2
2016001078,3,1
2016001081,3,2
2016001085,3,2
2016001093,3,2
2016001094,3,2
2016001096,6,2
2016001121,9,1
2016001131,3,2
2016001131,4,2
2016001131,9,2
2016001143,3,1
2016001148,3,2
2016001151,3,2
2016001153,3,2
2016001153,4,2
2016001153,5,2
2016001153,6,2
2016001153,7,2
2016001153,9,2
2016001156,7,2
2016001156,9,2
2016001158,3,2
2016001160,3,2
2016001161,3,2
2016001161,4,2
2016001166,3,2
2016001167,3,1
2016001172,3,2
2016001179,3,2
2016001202,3,2
2016001204,7,1
2016001209,3,2
2016001216,3,2
2016001217,3,2
2016001219,10,2
2016001221,3,2
2016001222,3,2
2016001229,4,1
2016001229,5,1
2016001229,6,1
2016001231,3,2
2016001231,3,3
2016001241,3,1
2016001242,3,2
2016001242,3,3
2016001243,3,3
2016001251,3,1
2016001252,5,2
2016001252,6,2
2016001262,3,2
2016001286,7,1
2016001286,3,2
2016001287,11,2
2016001290,3,2
2016001291,3,2
2016001300,7,1
2016001300,3,2
2016001309,3,3
2016001312,3,2
2016001312,5,2
2016001313,3,2
2016001313,7,2
2016001336,3,2
2016001342,11,2
2016001346,3,2
2016001356,3,3
2016001357,3,3
2016001358,7,2
2016001358,9,2
2016001361,3,2
2016001362,3,2
2016001367,3,2
2016001371,7,1
2016001371,9,1
2016001371,3,2
2016001371,4,2
2016001371,5,2
2016001371,7,2
2016001371,9,2
2016001372,3,2
2016001372,7,2
2016001372,9,2
2016001373,3,2
2016001373,7,2
2016001373,9,2
2016001373,7,3
2016001377,9,1
2016001378,4,2
2016001378,6,2
2016001381,3,2
2016001384,3,2
2016001386,3,2
2016001386,7,2
2016001386,9,2
2016001395,3,2
2016001399,3,1
2016001401,3,2
2016001404,3,2
2016001404,3,3
2016001410,9,1
2016001414,3,3
2016001419,3,2
2016001432,3,2
2016001432,7,2
2016001432,9,2
2016001432,3,3
2016001433,3,2
2016001434,3,2
2016001436,7,1
2016001436,9,1
2016001436,3,2
2016001437,3,2
2016001441,3,2
2016001442,5,2
2016001443,6,2
2016001443,3,3
2016001443,6,3
2016001447,3,2
2016001447,9,2
2016001450,3,1
2016001450,4,1
2016001450,6,1
2016001456,3,3
2016001456,9,3
2016001459,3,2
2016001466,3,2
2016001467,3,2
2016001473,3,2
2016001479,7,1
2016001479,9,1
2016001481,7,1
2016001482,3,1
2016001483,3,2
2016001483,7,2
2016001483,8,2
2016001483,9,2
2016001484,3,2
2016001484,6,2
2016001484,9,2
2016001490,3,1
2016001503,3,2
2016001504,5,1
2016001504,6,1
2016001508,6,1
2016001514,3,2
2016001527,3,2
2016001527,4,2
2016001527,6,2
2016001528,3,3
2016001529,3,2
2016001534,3,3
2016001536,3,2
2016001536,3,3
2016001536,7,3
2016001536,9,3
2016001537,3,2
2016001538,3,3
2016001540,3,2
2016001544,3,2
2016001546,3,2
2016001546,3,3
2016001549,3,2
2016001556,3,3
2016001558,3,1
2016001563,9,1
2016001564,3,2
2016001574,3,1
2016001574,4,1
2016001574,6,1
2016001574,9,1
2016001582,3,1
2016001582,9,1
2016001583,3,2
2016001583,9,2
2016001590,7,1
2016001591,7,2
2016001593,3,2
2016001594,3,2
2016001605,9,1
2016001607,3,2
2016001609,7,2
2016001609,9,2
2016001610,3,2
2016001612,3,2
2016001612,6,2
2016001618,3,2
2016001627,7,3
2016001649,3,2
2016001649,3,3
2016001653,9,2
2016001654,3,2
2016001656,3,2
2016001657,3,2
2016001660,9,2
2016001664,3,2
2016001664,9,2
2016001668,3,2
2016001668,5,2
2016001668,7,2
2016001668,9,2
2016001676,3,3
2016001676,9,3
2016001683,3,1
2016001687,3,3
2016001687,9,3
2016001688,7,1
2016001688,8,1
2016001688,9,1
2016001692,3,3
2016001694,3,2
2016001694,4,2
2016001694,6,2
2016001694,7,2
2016001694,8,2
2016001694,9,2
2016001696,3,2
2016001696,7,2
2016001696,9,2
2016001702,3,1
2016001702,7,1
2016001702,3,2
2016001708,7,1
2016001708,9,1
2016001710,5,1
2016001710,3,2
2016001739,7,1
2016001740,3,2
2016001743,3,2
2016001752,3,2
2016001755,3,2
2016001755,4,2
2016001755,6,2
2016001775,3,2
2016001781,3,3
2016001782,3,2
2016001784,3,2
2016001795,3,2
2016001795,4,2
2016001798,3,2
2016001799,3,2
2016001803,10,3
2016001809,6,2
2016001810,3,2
2016001810,9,2
2016001822,3,2
2016001837,7,1
2016001837,3,2
2016001837,7,2
2016001839,4,1
2016001839,6,1
2016001844,3,2
2016001844,9,2
2016001844,10,3
2016001846,9,1
2016001850,9,2
2016001851,9,2
2016001853,3,2
2016001853,8,2
2016001854,3,2
2016001854,9,2
2016001869,3,3
2016001886,3,2
2016001886,9,2
2016001890,3,2
2016001890,11,2
2016001897,3,1
2016001897,9,1
2016001899,3,2
2016001903,3,2
2016001903,9,2
2016001905,3,2
2016001905,9,2
2016001913,3,2
2016001923,6,1
2016001923,7,1
2016001925,3,2
2016001928,3,2
2016001928,7,2
2016001928,8,2
2016001928,9,2
2016001934,7,1
2016001940,3,2
2016001945,3,2
2016001956,3,2
2016001967,3,2
2016001973,3,2
2016001980,3,2
2016001995,3,2
2016001995,9,2
2016002005,3,2
2016002020,6,1
2016002023,3,3
2016002023,4,3
2016002023,6,3
2016002023,9,3
2016002033,4,1
2016002033,6,1
2016002048,3,2
2016002050,9,1
2016002057,3,2
2016002065,3,2
2016002080,3,2
2016002082,3,2
2016002094,3,2
2016002103,3,2
2016002104,3,2
2016002105,3,2
2016002105,4,2
2016002105,5,2
2016002121,3,2
2016002122,3,2
2016002127,3,2
2016002128,3,2
2016002132,3,2
2016002135,3,3
2016002136,3,2
2016002138,3,2
2016002141,3,2
2016002141,5,2
2016002141,7,2
2016002144,9,3
2016002150,3,2
2016002156,8,1
2016002163,3,2
2016002169,3,1
2016002171,3,2
2016002175,3,2
2016002176,7,2
2016002176,9,2
2016002177,3,2
2016002178,5,1
2016002178,10,1
2016002192,3,2
2016002198,4,2
2016002198,6,2
2016002202,3,2
2016002202,9,2
2016002204,6,2
2016002205,8,1
2016002215,3,2
2016002215,3,3
2016002217,3,2
2016002217,7,2
2016002217,9,2
2016002226,6,1
2016002231,3,2
2016002235,3,2
2016002237,7,3
2016002237,9,3
2016002238,3,2
2016002243,7,1
2016002243,9,1
2016002254,3,2
2016002258,6,3
2016002261,3,2
2016002267,3,2
2016002272,3,2
2016002273,3,2
2016002273,6,2
2016002274,9,2
2016002277,3,2
2016002277,7,2
2016002281,3,1
2016002282,3,2
2016002283,9,2
2016002284,3,2
2016002293,4,2
2016002293,6,2
2016002293,9,2
2016002295,1,2
2016002304,3,3
2016002317,3,2
2016002319,3,2
2016002324,11,1
2016002329,3,2
2016002329,4,2
2016002336,6,2
2016002345,3,2
2016002347,3,2
2016002355,3,2
2016002355,7,2
2016002355,8,2
2016002355,9,2
2016002358,7,1
2016002360,3,2
2016002360,9,2
2016002362,3,2
2016002362,9,2
2016002367,2,2
2016002367,3,2
2016002368,3,2
2016002379,3,2
2016002382,3,2
2016002391,3,2
2016002393,9,2
2016002399,3,3
2016002402,3,2
2016002402,7,2
2016002405,3,2
2016002406,7,1
2016002406,9,1
2016002412,3,2
2016002416,3,2
2016002418,3,2
2016002419,3,2
2016002421,3,2
2016002422,3,2
2016002422,3,3
2016002423,3,2
2016002424,3,2
2016002424,9,2
2016002438,3,3
2016002451,11,2
2016002452,5,2
2016002452,6,2
2016002453,3,2
2016002454,3,3
2016002455,3,2
2016002457,3,2
2016002459,4,1
2016002459,9,1
2016002460,3,2
2016002464,3,2
2016002464,3,3
2016002464,4,3
2016002464,6,3
2016002472,1,2
2016002472,3,2
2016002472,7,2
2016002472,9,2
2016002476,3,2
2016002479,3,2
2016002486,3,2
2016002486,7,2
2016002486,9,2
2016002489,3,2
2016002489,6,2
2016002489,7,2
2016002489,9,2
2016002493,3,2
2016002493,5,2
2016002493,7,2
2016002493,9,2
2016002500,5,1
2016002501,9,1
2016002501,3,3
2016002503,3,2
2016002503,7,2
2016002506,3,2
2016002520,3,3
2016002520,9,3
2016002522,7,2
2016002539,3,2
2016002560,3,2
2016002560,7,2
2016002560,9,2
2016002564,3,2
2016002577,6,1
2016002580,9,3
2016002581,3,1
2016002581,3,2
2016002581,4,2
2016002581,6,2
2016002581,9,2
2016002584,3,2
2016002592,5,1
2016002595,3,2
2016002599,3,2
2016002599,8,2
2016002600,9,1
2016002606,3,2
2016002607,3,1
2016002608,3,2
2016002608,9,2
2016002614,3,2
2016002615,3,1
2016002615,6,1
2016002615,7,1
2016002615,9,1
2016002616,3,2
2016002616,7,2
2016002617,3,1
2016002618,3,2
2016002623,3,2
2016002624,3,2
2016002626,3,2
2016002627,7,1
2016002627,9,1
2016002629,4,1
2016002629,6,1
2016002629,4,2
2016002629,5,2
2016002629,7,2
2016002629,8,2
2016002629,9,2
2016002631,5,1
2016002646,3,2
2016002648,3,2
2016002656,3,3
2016002664,3,2
2016002664,4,2
2016002666,3,2
2016002667,4,2
2016002667,6,2
2016002668,3,2
2016002668,3,3
2016002668,8,3
2016002669,3,2
2016002672,3,3
2016002674,3,1
2016002674,6,1
2016002678,3,2
2016002680,3,2
2016002680,6,2
2016002684,3,2
2016002684,7,2
2016002685,3,2
2016002687,3,2
2016002700,3,2
2016002701,3,2
2016002701,9,2
2016002704,3,2
2016002706,3,2
2016002710,3,2
2016002726,3,2
2016002726,6,2
2016002729,9,1
2016002733,6,1
2016002734,11,1
2016002741,3,2
2016002741,9,2
2016002745,3,2
2016002750,4,2
2016002752,3,2
2016002756,3,2
2016002757,3,2
2016002757,9,2
2016002760,3,2
2016002761,3,2
2016002761,5,2
2016002762,3,2
2016002770,3,2
2016002770,7,2
2016002775,9,1
2016002776,3,2
2016002780,3,2
2016002783,11,1
2016002790,3,2
2016002790,7,2
2016002790,9,2
2016002793,3,2
2016002798,9,1
2016002798,3,2
2016002798,5,2
2016002798,9,2
2016002799,3,2
2016002799,7,2
2016002799,8,2
2016002799,9,2
2016002802,7,1
2016002802,8,1
2016002807,1,2
2016002807,4,2
2016002807,6,2
2016002807,7,2
2016002807,9,2
2016002808,3,1
2016002808,4,1
2016002808,6,1
2016002808,7,1
2016002815,3,2
2016002828,9,1
2016002831,6,2
2016002840,7,1
2016002842,3,2
2016002843,4,2
2016002843,6,2
2016002848,3,2
2016002852,7,1
2016002852,9,1
2016002853,3,2
2016002853,4,2
2016002853,5,2
2016002853,6,2
2016002853,7,2
2016002857,3,2
2016002857,7,2
2016002858,3,2
2016002861,9,2
2016002862,3,2
2016002870,7,1
2016002870,3,2
2016002871,3,2
2016002872,7,1
2016002872,9,1
2016002876,3,2
2016002876,9,2
2016002877,3,1
2016002877,4,1
2016002878,3,1
2016002878,7,1
2016002898,3,2
2016002916,9,2
2016002924,9,3
2016002932,7,2
2016002932,8,2
2016002933,3,2
2016002933,7,2
2016002937,7,1
2016002937,9,1
2016002940,3,2
2016002942,3,2
2016002944,3,2
2016002944,3,3
2016002945,3,2
2016002948,3,2
2016002953,3,2
2016002959,3,2
2016002960,7,1
2016002970,3,2
2016002970,9,2
2016002982,3,2
2016002984,3,1
2016002984,9,2
2016002986,3,2
2016002995,3,2
2016002998,3,2
2016002999,7,1
2016002999,8,1
2016002999,9,1
2016003001,3,2
2016003002,3,3
2016003005,7,1
2016003005,3,2
2016003010,7,1
2016003010,3,2
2016003011,3,2
2016003015,3,2
2016003015,3,3
2016003016,3,3
2016003026,3,2
2016003027,7,1
2016003027,3,2
2016003028,3,2
2016003032,7,1
2016003033,4,1
2016003033,3,2
2016003033,7,2
2016003033,9,2
2016003046,5,1
2016003056,3,2
2016003056,7,2
2016003056,9,2
2016003057,9,2
2016003061,3,1
2016003063,2,1
2016003066,3,2
2016003071,3,1
2016003071,7,1
2016003071,8,1
2016003083,3,2
2016003084,3,2
2016003084,7,2
2016003084,9,2
2016003086,3,2
2016003098,3,2
2016003100,7,2
2016003114,11,2
2016003116,3,1
2016003116,6,1
2016003120,7,2
2016003120,9,2
2016003135,3,2
2016003135,9,2
2016003141,3,2
2016003141,3,3
2016003148,3,2
2016003153,3,2
2016003153,9,2
2016003159,3,2
2016003173,3,2
2016003175,3,3
2016003175,6,3
2016003178,3,2
2016003187,3,2
2016003187,9,2
2016003195,3,2
2016003199,3,2
2016003209,11,1
2016003210,3,2
2016003227,3,2
2016003228,3,1
2016003228,3,2
2016003230,4,2
2016003230,6,2
2016003234,3,2
2016003234,9,2
2016003234,3,3
2016003248,3,2
2016003251,3,2
2016003252,3,2
2016003255,3,2
2016003260,3,2
2016003261,7,2
2016003261,9,2
2016003265,9,2
2016003265,11,2
2016003266,3,2
2016003267,9,1
2016003280,3,2
2016003286,4,2
2016003286,6,2
2016003293,7,1
2016003297,3,2
2016003303,3,2
2016003303,6,2
2016003307,3,2
2016003316,3,2
2016003320,3,2
2016003331,3,2
2016003341,9,1
2016003341,9,2
2016003343,3,2
2016003353,3,2
2016003354,3,2
2016003360,4,1
2016003360,6,1
2016003360,3,2
2016003363,3,2
2016003364,3,1
2016003364,7,1
2016003364,8,1
2016003367,9,1
2016003368,3,2
2016003374,3,2
2016003391,3,2
2016003407,3,2
2016003409,4,2
2016003409,5,2
2016003430,3,2
2016003438,3,2
2016003440,7,1
2016003446,9,2
2016003448,9,1
2016003449,3,2
2016003451,3,2
2016003452,7,1
2016003457,3,2
2016003457,9,2
2016003465,3,2
2016003465,9,2
2016003467,3,2
2016003467,3,3
2016003480,3,2
2016003484,3,2
2016003495,3,2
2016003499,3,1
2016003499,9,1
2016003503,3,2
2016003506,8,1
2016003506,9,1
2016003508,3,2
2016003508,9,2
2016003514,3,2
2016003517,3,3
2016003519,1,2
2016003519,4,2
2016003519,7,2
2016003519,9,2
2016003521,9,2
2016003521,13,2
2016003527,3,2
2016003530,5,2
2016003531,3,2
2016003533,3,2
2016003534,6,2
2016003536,3,2
