CASENO,SEATPOS,VEHNO
201400002,2,2
201400002,3,2
201400002,4,2
201400002,5,2
201400002,6,2
201400007,3,2
201400011,3,2
201400015,3,2
201400021,10,1
201400022,3,2
201400043,3,2
201400043,9,2
201400048,3,1
201400048,8,1
201400049,3,2
201400053,11,1
201400053,3,2
201400053,3,3
201400070,3,2
201400077,3,2
201400081,3,2
201400081,4,2
201400082,5,1
201400087,3,2
201400091,10,2
201400096,7,1
201400096,8,1
201400096,9,1
201400100,3,2
201400103,3,2
201400104,3,2
201400108,3,1
201400112,6,1
201400116,3,2
201400122,3,1
201400122,7,1
201400123,3,2
201400129,3,2
201400131,4,1
201400131,5,1
201400131,6,1
201400132,3,3
201400133,1,2
201400137,7,1
201400137,9,1
201400142,3,1
201400142,7,1
201400142,8,1
201400142,9,1
201400145,3,2
201400145,7,2
201400145,9,2
201400147,3,2
201400148,4,1
201400149,3,2
201400149,11,2
201400152,4,1
201400152,6,1
201400155,3,3
201400155,7,3
201400155,9,3
201400156,3,1
201400158,3,2
201400158,7,2
201400158,9,2
201400160,3,1
201400160,7,1
201400161,6,1
201400161,3,2
201400167,7,1
201400167,9,1
201400168,4,2
201400168,6,2
201400169,3,2
201400176,4,2
201400178,3,2
201400182,3,2
201400186,9,1
201400187,3,2
201400189,3,2
201400197,9,1
201400197,3,2
201400197,7,2
201400197,9,2
201400202,7,1
201400202,9,1
201400205,3,2
201400205,5,2
201400207,3,2
201400209,3,2
201400210,3,1
201400214,3,2
201400214,9,2
201400225,3,2
201400226,3,2
201400226,7,2
201400227,4,1
201400227,6,1
201400227,3,2
201400227,4,2
201400227,6,2
201400229,3,2
201400230,3,2
201400230,3,3
201400230,7,3
201400230,8,3
201400230,9,3
201400237,9,2
201400242,4,2
201400242,6,2
201400244,3,2
201400244,4,2
201400244,5,2
201400244,6,2
201400244,9,2
201400258,6,1
201400268,3,2
201400268,7,2
201400268,9,2
201400275,3,2
201400275,11,2
201400280,3,2
201400281,3,2
201400281,3,3
201400282,3,2
201400282,7,2
201400284,3,2
201400290,3,2
201400296,3,2
201400297,9,1
201400297,4,2
201400297,5,2
201400297,6,2
201400298,3,2
201400298,5,2
201400299,3,2
201400304,3,3
201400311,7,2
201400311,9,2
201400314,3,2
201400314,9,2
201400315,6,1
201400315,3,2
201400320,4,2
201400320,6,2
201400322,4,1
201400322,5,1
201400322,6,1
201400322,3,2
201400322,3,3
201400322,4,3
201400325,3,2
201400332,1,2
201400333,4,1
201400333,6,1
201400333,7,1
201400342,7,1
201400342,3,2
201400344,4,1
201400347,3,3
201400347,8,3
201400349,3,1
201400349,3,2
201400349,4,2
201400349,5,2
201400349,6,2
201400355,4,1
201400355,6,1
201400355,3,2
201400356,7,1
201400357,6,1
201400357,3,2
201400373,9,1
201400373,7,2
201400378,3,2
201400379,2,1
201400379,8,1
201400379,9,1
201400380,3,2
201400380,3,3
201400380,9,3
201400381,3,2
201400382,3,2
201400382,4,2
201400382,5,2
201400382,6,2
201400384,3,2
201400389,9,1
201400394,3,3
201400394,9,3
201400396,3,2
201400396,7,2
201400404,9,1
201400412,3,1
201400412,5,1
201400418,3,2
201400418,3,3
201400426,3,2
201400427,3,2
201400427,4,2
201400427,5,2
201400430,3,2
201400432,3,2
201400432,3,3
201400437,3,2
201400439,7,1
201400441,7,3
201400450,4,1
201400450,6,1
201400452,3,2
201400452,5,2
201400457,7,1
201400457,9,1
201400457,3,3
201400458,7,1
201400459,3,1
201400463,3,2
201400463,6,2
201400463,9,2
201400466,3,1
201400473,3,2
201400475,3,2
201400478,3,2
201400481,3,3
201400484,9,1
201400486,3,2
201400486,4,2
201400486,6,2
201400486,7,2
201400490,9,2
201400493,9,1
201400500,3,2
201400504,3,1
201400504,3,2
201400506,7,2
201400506,9,2
201400510,3,3
201400513,3,2
201400513,6,2
201400520,7,2
201400521,3,3
201400521,9,3
201400523,3,3
201400526,9,1
201400529,3,2
201400529,7,2
201400529,9,2
201400534,7,1
201400537,3,2
201400542,3,2
201400544,3,2
201400545,3,2
201400545,4,2
201400545,6,2
201400546,3,2
201400546,9,2
201400549,3,2
201400549,9,2
201400554,2,1
201400554,8,1
201400557,3,1
201400557,8,1
201400559,3,3
201400562,6,2
201400564,3,2
201400566,3,2
201400570,3,2
201400570,7,2
201400573,3,2
201400577,3,2
201400578,6,2
201400578,7,2
201400578,9,2
201400583,3,2
201400584,3,3
201400588,3,2
201400591,3,2
201400592,3,3
201400598,11,1
201400598,11,2
201400599,3,2
201400600,3,1
201400600,7,1
201400607,3,1
201400613,7,1
201400613,9,1
201400618,3,2
201400618,7,2
201400618,9,2
