LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,RTE_NBR,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt
,,Y,,U,,W,31.0,52.0,2,420.0,002,,0.0,0.04,0,0,0,1,0,40,40,6486.0,0.09
,,,,U,,W,31.0,52.0,2,420.0,002,55.0,0.04,0.11,0,0,0,2,0,20,40,6486.0,0.17
,,Y,,U,,W,31.0,52.0,2,420.0,002,55.0,0.11,0.13,0,0,0,2,0,20,40,9103.0,0.07000000000000002
C,O,,C,U,A,W,31.0,52.0,2,420.0,002,55.0,0.13,0.14,0,0,750,4,0,27,106,22380.0,0.08
C,O,,C,U,A,W,31.0,52.0,2,420.0,002,55.0,0.14,0.16,0,0,750,4,0,23,92,22380.0,0.16
A,O,Y,C,U,A,W,31.0,52.0,2,420.0,002,55.0,0.16,0.17,0,4,350,4,0,13,52,22380.0,0.08
A,O,,C,U,A,W,31.0,52.0,2,420.0,002,55.0,0.17,0.19,0,4,350,4,0,13,52,22380.0,0.16
A,O,Y,A,U,A,W,31.0,52.0,2,420.0,002,55.0,0.19,0.21,0,4,350,4,10,12,48,21873.0,0.16
A,O,,A,U,A,W,31.0,52.0,2,420.0,002,55.0,0.21,0.22,0,4,350,4,10,12,48,21873.0,0.08
A,O,Y,A,U,A,W,31.0,52.0,2,420.0,002,55.0,0.22,0.23000000000000004,0,4,350,4,10,12,48,21873.0,0.08
A,O,,A,U,A,W,31.0,52.0,2,420.0,002,55.0,0.23000000000000004,0.27,0,4,350,3,10,16,48,21873.0,0.32
A,O,,A,U,A,W,31.0,52.0,2,420.0,002,55.0,0.27,0.31,0,4,350,3,10,16,48,21873.0,0.32
A,O,,A,U,A,W,31.0,52.0,2,420.0,002,55.0,0.31,0.32,0,4,350,3,10,18,54,21873.0,0.08
A,O,,A,U,A,W,31.0,52.0,2,420.0,002,55.0,0.32,0.3500000000000001,0,4,350,3,10,18,54,21873.0,0.24
W,O,Y,W,U,P,W,31.0,52.0,2,420.0,002,55.0,0.3500000000000001,0.36,0,0,350,5,0,16,80,21873.0,0.08
W,O,,W,U,P,W,31.0,52.0,2,420.0,002,55.0,0.36,0.39,0,0,350,5,0,16,80,21873.0,0.24
W,O,,W,U,P,W,31.0,52.0,2,420.0,002,55.0,0.39,0.44,0,0,350,5,0,16,80,76438.0,1.3900000000000001
W,O,,W,U,P,W,31.0,52.0,2,,002,55.0,0.44,0.49,0,0,350,5,0,16,80,76438.0,1.3900000000000001
W,O,,W,U,P,W,31.0,52.0,2,,002,55.0,0.49,0.56,0,0,350,5,0,16,80,76438.0,1.95
W,O,,W,U,P,W,31.0,52.0,2,,002,55.0,0.56,0.5899999999999999,0,0,350,4,0,17,68,76438.0,0.84
W,O,,W,U,P,W,31.0,52.0,2,,002,55.0,0.5899999999999999,0.68,0,0,350,4,0,17,68,76438.0,2.51
W,O,,W,U,P,W,31.0,52.0,2,,002,55.0,0.68,0.87,0,0,50,4,0,17,68,76438.0,5.3
W,O,Y,W,U,P,W,31.0,52.0,2,,002,55.0,0.87,0.9,0,0,50,4,0,17,68,76438.0,0.84
W,O,,W,R,P,W,31.0,42.0,2,,002,55.0,0.9,1.01,0,0,50,4,0,17,68,76438.0,3.07
W,O,Y,W,R,P,W,31.0,42.0,2,,002,55.0,1.01,1.1,0,0,50,4,0,17,68,76438.0,2.51
W,O,Y,W,R,P,W,31.0,42.0,2,,002,55.0,1.1,1.21,0,0,50,4,0,17,68,76438.0,3.07
W,O,,W,R,P,W,31.0,42.0,2,,002,55.0,1.21,1.27,0,0,50,4,0,17,68,76438.0,1.67
W,O,,W,R,P,W,31.0,42.0,2,,002,55.0,1.27,1.36,0,0,50,4,0,17,68,76438.0,2.51
W,O,,W,R,P,W,31.0,42.0,2,,002,55.0,1.36,1.82,0,0,50,4,0,17,68,76438.0,12.83
