CASENO,SEATPOS,VEHNO
2017000004,7,1
2017000005,3,2
2017000011,3,2
2017000017,5,1
2017000017,6,1
2017000017,7,1
2017000017,8,1
2017000017,9,1
2017000018,3,3
2017000018,4,3
2017000018,6,3
2017000018,9,3
2017000023,11,1
2017000023,7,2
2017000025,4,1
2017000025,5,1
2017000025,6,1
2017000025,3,2
2017000032,3,2
2017000035,10,1
2017000038,3,2
2017000041,3,2
2017000043,3,3
2017000050,3,2
2017000053,3,2
2017000053,7,2
2017000053,9,2
2017000054,7,2
2017000056,5,1
2017000063,7,1
2017000063,9,1
2017000064,3,2
2017000066,3,2
2017000066,6,2
2017000072,3,2
2017000072,9,2
2017000074,3,2
2017000074,3,3
2017000083,6,2
2017000085,3,2
2017000092,5,2
2017000092,8,2
2017000097,3,2
2017000098,5,2
2017000105,4,1
2017000105,6,1
2017000109,3,1
2017000125,7,1
2017000125,9,1
2017000135,3,2
2017000136,3,1
2017000136,5,3
2017000136,7,3
2017000136,9,3
2017000141,9,1
2017000147,3,2
2017000152,3,2
2017000153,3,2
2017000175,3,3
2017000175,7,3
2017000175,9,3
2017000180,3,2
2017000200,3,2
2017000203,4,2
2017000203,6,2
2017000219,3,2
2017000220,3,2
2017000221,3,2
2017000223,3,2
2017000230,3,2
2017000237,9,1
2017000261,3,1
2017000261,9,1
2017000262,3,2
2017000262,9,2
2017000262,3,3
2017000262,7,3
2017000262,9,3
2017000265,9,1
2017000267,7,1
2017000270,8,1
2017000275,3,2
2017000276,3,2
2017000276,4,2
2017000276,5,2
2017000276,6,2
2017000288,3,1
2017000292,3,2
2017000292,7,2
2017000292,9,2
2017000293,7,2
2017000293,9,2
2017000297,3,1
2017000297,9,1
2017000298,3,2
2017000298,4,2
2017000298,6,2
2017000305,7,1
2017000305,9,1
2017000307,3,2
2017000307,3,3
2017000307,6,3
2017000317,3,2
2017000317,7,2
2017000318,3,2
2017000327,7,1
2017000327,3,3
2017000330,7,1
2017000343,4,1
2017000343,6,1
2017000346,3,1
2017000346,6,1
2017000346,9,1
2017000348,7,1
2017000350,3,2
2017000350,6,2
2017000363,7,1
2017000367,4,1
2017000367,7,1
2017000367,9,1
2017000369,3,2
2017000372,7,1
2017000376,11,1
2017000382,3,1
2017000384,3,2
2017000386,3,2
2017000391,3,2
2017000391,4,2
2017000391,6,2
2017000394,3,2
2017000396,3,2
2017000396,9,2
2017000397,3,2
2017000397,3,3
2017000398,3,2
2017000398,3,3
2017000398,7,3
2017000398,9,3
2017000400,3,2
2017000400,9,2
2017000402,3,2
2017000402,9,2
2017000407,9,1
2017000409,3,2
2017000412,3,2
2017000414,4,1
2017000414,6,1
2017000423,3,2
2017000423,6,2
2017000423,9,2
2017000424,3,2
2017000424,7,2
2017000424,9,2
2017000432,3,1
2017000432,4,1
2017000432,7,1
2017000432,3,2
2017000432,3,3
2017000436,3,2
2017000443,6,1
2017000443,7,1
2017000443,9,1
2017000444,3,2
2017000444,4,2
2017000444,5,2
2017000444,6,2
2017000446,3,2
2017000450,6,1
2017000457,9,2
2017000461,3,2
2017000463,6,1
2017000468,3,2
2017000468,4,2
2017000468,6,2
2017000468,7,2
2017000468,9,2
2017000470,3,2
2017000470,9,2
2017000470,10,2
2017000471,3,3
2017000472,3,1
2017000473,4,1
2017000473,5,1
2017000473,6,1
2017000473,7,1
2017000476,3,2
2017000477,3,2
2017000478,3,2
2017000481,7,1
2017000481,9,1
2017000483,9,1
2017000489,3,2
2017000490,3,2
2017000493,3,2
2017000495,3,2
2017000499,6,1
2017000499,3,3
2017000506,3,2
2017000506,4,2
2017000506,5,2
2017000506,6,2
2017000507,3,1
2017000507,9,1
2017000507,10,1
2017000507,3,2
2017000507,4,2
2017000507,6,2
2017000507,7,2
2017000507,9,2
